gene_id	sample	hmmer	dbcan_sub	diamond
ERZ1664501.10-NODE-10-length-7973-cov-4.180475_2	ERZ1664501	0	0	1
ERZ1664501.100-NODE-100-length-4280-cov-4.107219_1	ERZ1664501	1	1	1
ERZ1664501.10010-NODE-10010-length-709-cov-2.643731_1	ERZ1664501	1	1	1
ERZ1664501.1003-NODE-1003-length-1987-cov-3.784679_2	ERZ1664501	1	1	1
ERZ1664501.10043-NODE-10043-length-708-cov-2.258806_1	ERZ1664501	0	0	1
ERZ1664501.1006-NODE-1006-length-1984-cov-2.954899_1	ERZ1664501	0	1	1
ERZ1664501.10064-NODE-10064-length-708-cov-1.295559_1	ERZ1664501	1	1	1
ERZ1664501.10082-NODE-10082-length-707-cov-2.946319_1	ERZ1664501	1	1	1
ERZ1664501.10113-NODE-10113-length-706-cov-4.221198_2	ERZ1664501	0	1	0
ERZ1664501.1013-NODE-1013-length-1978-cov-3.562142_2	ERZ1664501	0	0	1
ERZ1664501.10135-NODE-10135-length-706-cov-1.479263_1	ERZ1664501	1	1	0
ERZ1664501.1014-NODE-1014-length-1977-cov-3.199792_2	ERZ1664501	0	0	1
ERZ1664501.10146-NODE-10146-length-705-cov-3.156923_1	ERZ1664501	0	0	1
ERZ1664501.10153-NODE-10153-length-705-cov-2.418462_1	ERZ1664501	0	0	1
ERZ1664501.10166-NODE-10166-length-705-cov-1.467692_1	ERZ1664501	1	1	0
ERZ1664501.10197-NODE-10197-length-704-cov-1.385208_1	ERZ1664501	1	1	0
ERZ1664501.10231-NODE-10231-length-703-cov-1.597222_1	ERZ1664501	1	1	1
ERZ1664501.10243-NODE-10243-length-702-cov-3.972179_1	ERZ1664501	0	1	0
ERZ1664501.10246-NODE-10246-length-702-cov-3.097372_1	ERZ1664501	0	1	1
ERZ1664501.10304-NODE-10304-length-701-cov-1.097523_1	ERZ1664501	1	1	0
ERZ1664501.10401-NODE-10401-length-698-cov-1.405910_1	ERZ1664501	1	1	0
ERZ1664501.10410-NODE-10410-length-698-cov-1.101089_1	ERZ1664501	1	1	0
ERZ1664501.10443-NODE-10443-length-696-cov-3.641186_1	ERZ1664501	0	1	1
ERZ1664501.10487-NODE-10487-length-695-cov-1.495313_1	ERZ1664501	1	0	0
ERZ1664501.10509-NODE-10509-length-694-cov-2.179969_1	ERZ1664501	0	1	0
ERZ1664501.10866-NODE-10866-length-685-cov-0.922222_1	ERZ1664501	0	1	1
ERZ1664501.10909-NODE-10909-length-683-cov-3.004777_2	ERZ1664501	0	1	0
ERZ1664501.10974-NODE-10974-length-681-cov-2.373802_1	ERZ1664501	0	1	1
ERZ1664501.11125-NODE-11125-length-677-cov-2.061093_1	ERZ1664501	0	1	0
ERZ1664501.11205-NODE-11205-length-675-cov-1.201613_1	ERZ1664501	0	1	0
ERZ1664501.11294-NODE-11294-length-672-cov-1.267423_1	ERZ1664501	0	1	1
ERZ1664501.13391-NODE-13391-length-622-cov-2.566138_1	ERZ1664501	1	0	0
ERZ1664501.14228-NODE-14228-length-605-cov-1.345455_1	ERZ1664501	1	0	0
ERZ1664501.17306-NODE-17306-length-554-cov-3.072144_1	ERZ1664501	1	0	0
ERZ1664501.20696-NODE-20696-length-507-cov-1.539823_1	ERZ1664501	1	0	0
ERZ1664501.3017-NODE-3017-length-1237-cov-2.881557_1	ERZ1664501	1	0	0
ERZ1664501.7862-NODE-7862-length-794-cov-1.913396_1	ERZ1664501	1	0	1
ERZ1664501.831-NODE-831-length-2158-cov-4.602473_2	ERZ1664501	1	0	1
ERZ1664503.10253-NODE-10253-length-713-cov-2.489362_1	ERZ1664503	1	0	1
ERZ1664503.13673-NODE-13673-length-630-cov-2.777391_1	ERZ1664503	1	0	1
