sample	resolution	window	chrom	start	end	size	size_kb	n_bins	valid_fraction	region	left_boundary_strength	right_boundary_strength
HIC_ES_4	20000	300000	chr1	3320000	3440000	120000	120.0	6	1.0	chr1	0.0006665209202382227	0.002605061453010926
HIC_ES_4	20000	300000	chr1	3460000	3600000	140000	140.0	7	1.0	chr1	0.002605061453010926	0.00412183652950196
HIC_ES_4	20000	300000	chr1	3620000	3640000	20000	20.0	1	1.0	chr1	0.00412183652950196	0.4384839096162975
HIC_ES_4	20000	300000	chr1	3660000	3920000	260000	260.0	13	1.0	chr1	0.4384839096162975	0.008587944497005395
HIC_ES_4	20000	300000	chr1	3940000	3960000	20000	20.0	1	1.0	chr1	0.008587944497005395	0.007486546517378123
HIC_ES_4	20000	300000	chr1	3980000	4400000	420000	420.0	21	1.0	chr1	0.007486546517378123	1.2192942117627767
HIC_ES_4	20000	300000	chr1	4420000	4780000	360000	360.0	18	1.0	chr1	1.2192942117627767	0.3659933225117567
HIC_ES_4	20000	300000	chr1	4800000	5100000	300000	300.0	15	1.0	chr1	0.3659933225117567	0.6457179057965304
HIC_ES_4	20000	300000	chr1	5120000	5480000	360000	360.0	18	1.0	chr1	0.6457179057965304	0.10852017487686622
HIC_ES_4	20000	300000	chr1	5500000	5900000	400000	400.0	20	1.0	chr1	0.10852017487686622	0.40412418814834994
HIC_ES_4	40000	2000000	chr1	4480000	4800000	320000	320.0	8	1.0	chr1	0.07751905344186905	0.5764605914595509
HIC_ES_4	40000	2000000	chr1	4840000	5920000	1080000	1080.0	27	1.0	chr1	0.5764605914595509	0.014422027898807727
HIC_ES_4	40000	2000000	chr1	5960000	6200000	240000	240.0	6	1.0	chr1	0.014422027898807727	0.9493340743927696
HIC_ES_4	40000	2000000	chr1	6240000	7000000	760000	760.0	19	1.0	chr1	0.9493340743927696	0.24528837151278493
HIC_ES_4	40000	2000000	chr1	7040000	7160000	120000	120.0	3	1.0	chr1	0.24528837151278493	0.0020784080359482413
HIC_ES_4	40000	2000000	chr1	7200000	7920000	720000	720.0	18	1.0	chr1	0.0020784080359482413	0.029226021628115384
HIC_ES_4	40000	2000000	chr1	7960000	8240000	280000	280.0	7	0.8571428571428571	chr1	0.029226021628115384	0.03647216339194115
HIC_ES_4	40000	2000000	chr1	8280000	8400000	120000	120.0	3	1.0	chr1	0.03647216339194115	0.0020575471070337636
