peak_id	consensus_set	interval_id	chr	start	end	num_peaks	num_samples	EZH2_IP_NTKO_R1	EZH2_IP_NTKO_R2	EZH2_IP_TKO_R1	EZH2_IP_TKO_R2	FOXA1_IP_E2_R1	FOXA1_IP_E2_R2	FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R2
EZH2_IP:Interval_1	EZH2_IP	Interval_1	chr1	738095	738219	1	1	0	0	0	1	0	0	0	0
EZH2_IP:Interval_3946	EZH2_IP	Interval_3946	chr1	17531680	17531891	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_7892	EZH2_IP	Interval_7892	chr1	68627758	68627880	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_11838	EZH2_IP	Interval_11838	chr1	208404775	208404894	1	1	0	0	0	1	0	0	0	0
EZH2_IP:Interval_15784	EZH2_IP	Interval_15784	chr10	116454615	116454738	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_19730	EZH2_IP	Interval_19730	chr11	62000148	62000302	1	1	0	0	0	1	0	0	0	0
EZH2_IP:Interval_23676	EZH2_IP	Interval_23676	chr12	65225944	65226088	1	1	0	0	0	1	0	0	0	0
EZH2_IP:Interval_27622	EZH2_IP	Interval_27622	chr14	105980710	105980944	1	1	0	0	0	1	0	0	0	0
EZH2_IP:Interval_31568	EZH2_IP	Interval_31568	chr16	29262926	29263196	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_35514	EZH2_IP	Interval_35514	chr17	5878	6062	2	2	0	1	0	1	0	0	0	0
EZH2_IP:Interval_39459	EZH2_IP	Interval_39459	chr17	74874943	74877130	7	4	1	1	1	1	0	0	0	0
EZH2_IP:Interval_43405	EZH2_IP	Interval_43405	chr19	2309698	2309888	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_47351	EZH2_IP	Interval_47351	chr19	42252966	42253192	2	2	1	1	0	0	0	0	0	0
EZH2_IP:Interval_51297	EZH2_IP	Interval_51297	chr2	46495988	46496120	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_55243	EZH2_IP	Interval_55243	chr2	241651050	241651319	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_59189	EZH2_IP	Interval_59189	chr21	19861395	19861576	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_63135	EZH2_IP	Interval_63135	chr22	44297142	44297593	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_67081	EZH2_IP	Interval_67081	chr3	166771856	166772015	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_71027	EZH2_IP	Interval_71027	chr4	108694823	108694950	1	1	0	0	0	1	0	0	0	0
EZH2_IP:Interval_74973	EZH2_IP	Interval_74973	chr5	112847109	112847248	1	1	0	0	0	1	0	0	0	0
EZH2_IP:Interval_78918	EZH2_IP	Interval_78918	chr6	137909650	137909827	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_82864	EZH2_IP	Interval_82864	chr7	87817264	87817395	1	1	0	0	0	1	0	0	0	0
EZH2_IP:Interval_86810	EZH2_IP	Interval_86810	chr8	42350802	42350954	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_90756	EZH2_IP	Interval_90756	chr9	33612245	33612405	1	1	0	1	0	0	0	0	0	0
EZH2_IP:Interval_94702	EZH2_IP	Interval_94702	chr9	138171194	138171793	1	1	0	0	0	1	0	0	0	0
FOXA1_IP:Interval_1410	FOXA1_IP	Interval_1410	chr1	66707660	66707794	1	1	0	0	0	0	0	1	0	0
FOXA1_IP:Interval_5356	FOXA1_IP	Interval_5356	chr10	21427981	21428123	1	1	0	0	0	0	0	0	1	0
FOXA1_IP:Interval_9302	FOXA1_IP	Interval_9302	chr11	99564636	99564800	1	1	0	0	0	0	0	0	1	0
FOXA1_IP:Interval_13248	FOXA1_IP	Interval_13248	chr12	125032631	125032866	3	3	0	0	0	0	0	1	1	1
FOXA1_IP:Interval_17194	FOXA1_IP	Interval_17194	chr15	40336767	40336896	1	1	0	0	0	0	0	0	0	1
FOXA1_IP:Interval_21139	FOXA1_IP	Interval_21139	chr17	56743671	56743924	4	4	0	0	0	0	1	1	1	1
FOXA1_IP:Interval_25085	FOXA1_IP	Interval_25085	chr2	34647092	34647211	1	1	0	0	0	0	0	1	0	0
FOXA1_IP:Interval_29031	FOXA1_IP	Interval_29031	chr2	235372591	235372904	4	4	0	0	0	0	1	1	1	1
FOXA1_IP:Interval_32977	FOXA1_IP	Interval_32977	chr3	41319683	41319872	2	2	0	0	0	0	0	1	0	1
FOXA1_IP:Interval_36923	FOXA1_IP	Interval_36923	chr4	27077287	27077547	4	4	0	0	0	0	1	1	1	1
FOXA1_IP:Interval_40869	FOXA1_IP	Interval_40869	chr5	72426499	72426628	1	1	0	0	0	0	0	0	0	1
FOXA1_IP:Interval_44815	FOXA1_IP	Interval_44815	chr6	56548812	56549033	4	4	0	0	0	0	1	1	1	1
FOXA1_IP:Interval_48761	FOXA1_IP	Interval_48761	chr7	105820318	105820551	4	4	0	0	0	0	1	1	1	1
FOXA1_IP:Interval_52707	FOXA1_IP	Interval_52707	chr8	134132629	134132851	4	4	0	0	0	0	1	1	1	1
FOXA1_IP:Interval_56653	FOXA1_IP	Interval_56653	chrY	59019740	59020041	4	4	0	0	0	0	1	1	1	1
