sample	peak_id	chr	start	end	width	midpoint	score	fold_enrichment	neg_log10_pvalue	neg_log10_qvalue
GM12878_FAST_R1.mLb.clN	GM12878_FAST_R1.mLb.clN_peak_1	chr1	762667	762873	206	762771	16	4.426	5.61366	1.63478
GM12878_FAST_R1.mLb.clN	GM12878_FAST_R1.mLb.clN_peak_2	chr1	1051282	1051774	492	1051529	13	4.13814	5.10098	1.34802
GM12878_FAST_R1.mLb.clN	GM12878_FAST_R1.mLb.clN_peak_3	chr1	1550673	1551185	512	1550930	11	3.96866	4.81062	1.19298
GM12878_FAST_R1.mLb.clN	GM12878_FAST_R1.mLb.clN_peak_4	chr1	1623975	1624302	327	1624139	17	4.55804	5.85436	1.77225
GM12878_FAST_R1.mLb.clN	GM12878_FAST_R1.mLb.clN_peak_5	chr1	1710323	1710641	318	1710483	10	3.5852	4.53413	1.02394
GM12878_FAST_R1.mLb.clN	GM12878_FAST_R1.mLb.clN_peak_6	chr1	2221892	2222049	157	2221971	16	4.48246	5.69252	1.67116
GM12878_FAST_R2.mLb.clN	GM12878_FAST_R2.mLb.clN_peak_1	chr1	535685	535878	193	535782	15	4.08977	5.12263	1.51908
GM12878_FAST_R2.mLb.clN	GM12878_FAST_R2.mLb.clN_peak_2	chr1	714142	714340	198	714242	19	4.5702	5.84438	1.98253
GM12878_FAST_R2.mLb.clN	GM12878_FAST_R2.mLb.clN_peak_3	chr1	762465	762971	506	762719	12	3.83761	4.5627	1.23859
GM12878_FAST_R2.mLb.clN	GM12878_FAST_R2.mLb.clN_peak_4	chr1	948789	949041	252	948916	11	3.72307	4.58406	1.19445
GM12878_FAST_R2.mLb.clN	GM12878_FAST_R2.mLb.clN_peak_5	chr1	968250	968812	562	968532	12	3.42325	4.69623	1.27018
GM12878_FAST_R2.mLb.clN	GM12878_FAST_R2.mLb.clN_peak_6	chr1	1051623	1052027	404	1051826	13	3.74059	4.77361	1.3242
GM12878_OMNI_R1.mLb.clN	GM12878_OMNI_R1.mLb.clN_peak_1	chr1	10037	10466	429	10252	215	9.16522	24.0507	21.5573
GM12878_OMNI_R1.mLb.clN	GM12878_OMNI_R1.mLb.clN_peak_2	chr1	28885	29387	502	29137	98	6.04496	11.9969	9.8246
GM12878_OMNI_R1.mLb.clN	GM12878_OMNI_R1.mLb.clN_peak_3	chr1	235622	235997	375	235810	25	3.1597	4.37171	2.53791
GM12878_OMNI_R1.mLb.clN	GM12878_OMNI_R1.mLb.clN_peak_4	chr1	540584	541023	439	540804	23	3.17335	4.16812	2.34517
GM12878_OMNI_R1.mLb.clN	GM12878_OMNI_R1.mLb.clN_peak_5	chr1	578351	578579	228	578466	34	3.69413	5.367	3.46363
GM12878_OMNI_R1.mLb.clN	GM12878_OMNI_R1.mLb.clN_peak_6	chr1	713752	714738	986	714246	423	5.9025	45.3505	42.3215
GM12878_OMNI_R2.mLb.clN	GM12878_OMNI_R2.mLb.clN_peak_1	chr1	10038	10507	469	10273	140	7.47293	16.4394	14.0718
GM12878_OMNI_R2.mLb.clN	GM12878_OMNI_R2.mLb.clN_peak_2	chr1	28895	29402	507	29149	49	4.56456	7.03813	4.99678
GM12878_OMNI_R2.mLb.clN	GM12878_OMNI_R2.mLb.clN_peak_3	chr1	235622	235949	327	235786	43	3.94224	6.36601	4.35746
GM12878_OMNI_R2.mLb.clN	GM12878_OMNI_R2.mLb.clN_peak_4	chr1	540618	540982	364	540801	20	3.16813	3.85879	2.00821
GM12878_OMNI_R2.mLb.clN	GM12878_OMNI_R2.mLb.clN_peak_5	chr1	713741	714829	1088	714286	350	5.71356	38.0525	35.0152
GM12878_OMNI_R2.mLb.clN	GM12878_OMNI_R2.mLb.clN_peak_6	chr1	739862	740878	1016	740371	69	4.67796	9.01352	6.93072
GM12878_STD_R1.mLb.clN	GM12878_STD_R1.mLb.clN_peak_1	chr1	713912	714345	433	714129	33	4.85984	6.52176	3.33885
GM12878_STD_R1.mLb.clN	GM12878_STD_R1.mLb.clN_peak_2	chr1	762355	763067	712	762712	25	4.36196	5.57243	2.57511
GM12878_STD_R1.mLb.clN	GM12878_STD_R1.mLb.clN_peak_3	chr1	839787	840794	1007	840291	18	3.85383	4.64242	1.81589
GM12878_STD_R1.mLb.clN	GM12878_STD_R1.mLb.clN_peak_4	chr1	894587	894783	196	894686	48	5.73991	8.38392	4.87984
GM12878_STD_R1.mLb.clN	GM12878_STD_R1.mLb.clN_peak_5	chr1	954800	955197	397	954999	18	3.77937	4.68241	1.82878
GM12878_STD_R1.mLb.clN	GM12878_STD_R1.mLb.clN_peak_6	chr1	968086	968732	646	968410	36	4.87397	6.86282	3.65192
GM12878_STD_R2.mLb.clN	GM12878_STD_R2.mLb.clN_peak_1	chr1	10250	10429	179	10340	15	3.36647	4.34702	1.51285
GM12878_STD_R2.mLb.clN	GM12878_STD_R2.mLb.clN_peak_2	chr1	713968	714413	445	714191	39	5.24182	7.17837	3.92787
GM12878_STD_R2.mLb.clN	GM12878_STD_R2.mLb.clN_peak_3	chr1	762641	763198	557	762920	29	4.67754	6.0599	2.96181
GM12878_STD_R2.mLb.clN	GM12878_STD_R2.mLb.clN_peak_4	chr1	948801	949134	333	948968	17	3.81868	4.57481	1.76111
GM12878_STD_R2.mLb.clN	GM12878_STD_R2.mLb.clN_peak_5	chr1	954821	955607	786	955215	22	4.07673	5.19941	2.25861
GM12878_STD_R2.mLb.clN	GM12878_STD_R2.mLb.clN_peak_6	chr1	968284	968730	446	968508	43	5.42821	7.70536	4.38282
