chrom	start	end	region	coverage	sample	aggregation_time
MN908947.3	30	410	nCoV-2019_1	2029	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	320	726	nCoV-2019_2	4665	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	642	1028	nCoV-2019_3	3634	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	943	1337	nCoV-2019_4	2945	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	1242	1651	nCoV-2019_5	2448	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	1573	1964	nCoV-2019_6	2592	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	1868	2269	nCoV-2019_7	3306	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	2181	2592	nCoV-2019_8	3936	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	2504	2904	nCoV-2019_9	4392	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	2826	3210	nCoV-2019_10	6296	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	3144	3531	nCoV-2019_11	4344	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	3460	3853	nCoV-2019_12	2308	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	3771	4164	nCoV-2019_13	4695	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	4044	4450	nCoV-2019_14	8178	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	4294	4696	nCoV-2019_15	6422	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	4636	5017	nCoV-2019_16	4171	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	4939	5321	nCoV-2019_17	193	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	5230	5644	nCoV-2019_18	7215	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	5563	5957	nCoV-2019_19	6380	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	5867	6272	nCoV-2019_20	3407	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	6167	6550	nCoV-2019_21	11133	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	6466	6873	nCoV-2019_22	4895	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	6718	7117	nCoV-2019_23	2314	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	7035	7415	nCoV-2019_24	5404	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	7305	7694	nCoV-2019_25	7404	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	7626	8019	nCoV-2019_26	5454	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	7943	8341	nCoV-2019_27	6224	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	8249	8661	nCoV-2019_28	4403	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	8595	8983	nCoV-2019_29	5033	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	8888	9271	nCoV-2019_30	5582	SAMPLE_06	2026-05-21 19:31:50
