contrast	event_id	event_type	gene_id	gene_name	chrom	strand	start	end	locus	psi_treatment	psi_control	dpsi	abs_dpsi	pvalue	fdr	neg_log10_fdr	reads_treatment	reads_control	significant	direction
GS689-PC3E	MXE_16220	Mutually exclusive exons	ENSG00000129354	AP1M2	chr19	-	10687874	10689639	chr19:10687874-10689639	0.0	0.443	-0.443	0.443	7.43854922102827e-9	0.00020202208668374	3.6946011473825413	12.333333333333334	2847.6666666666665	true	down
GS689-PC3E	MXE_12803	Mutually exclusive exons	ENSG00000026508	CD44	chr11	+	35231512	35236461	chr11:35231512-35236461	0.005666666666666667	0.46900000000000003	-0.463	0.463	5.37352057294882e-8	0.000251991247268435	3.5986145438574892	2457.0	3651.6666666666665	true	down
GS689-PC3E	MXE_14916	Mutually exclusive exons	ENSG00000143537	ADAM15	chr1	+	155033239	155034451	chr1:155033239-155034451	0.9126666666666668	0.45166666666666666	0.461	0.461	1.56191120481708e-7	0.000546085615046617	3.2627392634720724	2030.6666666666667	2338.0	true	up
GS689-PC3E	MXE_14919	Mutually exclusive exons	ENSG00000143537	ADAM15	chr1	+	155033239	155034451	chr1:155033239-155034451	0.965	0.757	0.208	0.208	1.74672869723835e-7	0.000546085615046617	3.2627392634720724	5026.666666666667	5244.0	true	up
GS689-PC3E	MXE_16032	Mutually exclusive exons	ENSG00000189334	S100A14	chr1	-	153587711	153588412	chr1:153587711-153588412	0.0	0.021333333333333333	-0.021	0.021	4.21933455063694e-7	0.000636935661530347	3.1959044346246723	24.0	17142.666666666668	false	not significant
GS689-PC3E	A5SS_4336	Alternative 5' splice site	ENSG00000189334	S100A14	chr1	-	153588305	153588412	chr1:153588305-153588412	1.0	0.9646666666666667	0.035	0.035	1.66712265103897e-7	0.000691812959033533	3.1600113070455054	15.666666666666666	15932.666666666666	false	not significant
GS689-PC3E	MXE_14918	Mutually exclusive exons	ENSG00000143537	ADAM15	chr1	+	155033239	155033965	chr1:155033239-155033965	0.9986666666666667	0.9686666666666666	0.03	0.03	7.73977842150053e-7	0.000989882479298911	3.004416362595956	4852.333333333333	4081.6666666666665	false	not significant
GS689-PC3E	MXE_23835	Mutually exclusive exons	ENSG00000067225	PKM	chr15	-	72494795	72495529	chr15:72494795-72495529	0.12666666666666668	0.04866666666666667	0.078	0.078	1.15982691983874e-6	0.0013053620017401	2.8842690334929464	68398.33333333333	60642.0	false	not significant
PC3E-GS689	RI_3449	Retained intron	ENSG00000115556	PLCD4	chr2	+	219498485	219498827	chr2:219498485-219498827	0.6913333333333332	0.07	0.621	0.621	2.8959032849496e-7	0.000696307437558774	3.1571989659137727	602.0	3068.3333333333335	true	up
PC3E-GS689	MXE_12804	Mutually exclusive exons	ENSG00000026508	CD44	chr11	+	35236399	35240934	chr11:35236399-35240934	0.12866666666666668	0.5063333333333334	-0.378	0.378	2.11687391726834e-7	0.00119124962820358	2.9239972218996053	2300.3333333333335	4855.0	true	down
PC3E-GS689	MXE_13886	Mutually exclusive exons	ENSG00000115556	PLCD4	chr2	+	219498328	219499353	chr2:219498328-219499353	0.6143333333333333	0.2813333333333334	0.333	0.333	2.06861402896052e-7	0.00119124962820358	2.9239972218996053	878.0	8171.333333333333	true	up
PC3E-GS689	RI_2306	Retained intron	ENSG00000100599	RIN3	chr14	+	93151496	93154030	chr14:93151496-93154030	1.0	0.3853333333333333	0.615	0.615	1.21080109605209e-6	0.00183242487338766	2.7369738217302197	50.333333333333336	515.6666666666666	true	up
PC3E-GS689	RI_939	Retained intron	ENSG00000106366	SERPINE1	chr7	+	100771765	100771809	chr7:100771765-100771809	1.0	0.9433333333333334	0.057	0.057	2.95734736699416e-7	0.000696307437558774	3.1571989659137727	17.0	4382.333333333333	false	not significant
PC3E-GS689	MXE_23835	Mutually exclusive exons	ENSG00000067225	PKM	chr15	-	72494795	72495529	chr15:72494795-72495529	0.04866666666666667	0.12666666666666668	-0.078	0.078	7.49084866358274e-8	0.00119124962820358	2.9239972218996053	60642.0	68398.33333333333	false	not significant
PC3E-GS689	SE_121114	Skipped exon	ENSG00000067225	PKM	chr15	-	72495363	72495529	chr15:72495363-72495529	0.016666666666666666	0.044000000000000004	-0.027	0.027	1.26133661626504e-7	0.00270688091532532	2.5675308498647706	24612.666666666668	29991.333333333332	false	not significant
PC3E-GS689	MXE_3721	Mutually exclusive exons	ENSG00000204956	PCDHGA1	chr5	+	140874374	140885048	chr5:140874374-140885048	0.0	0.02	-0.02	0.02	2.09621260505166e-6	0.00393207560455591	2.4053781402992684	121.33333333333333	792.6666666666666	false	not significant
