peak_id	consensus_set	interval_id	chr	region	support	EZH2_IP_NTKO_R1	EZH2_IP_NTKO_R2	EZH2_IP_TKO_R1	EZH2_IP_TKO_R2	FOXA1_IP_E2_R1	FOXA1_IP_E2_R2	FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R2
EZH2_IP:Interval_27	EZH2_IP	Interval_27	chr1	chr1:857407-863540	4	23.5918	14.5678	0.0	0.0	0.0	0.0	0.0	0.0
EZH2_IP:Interval_3175	EZH2_IP	Interval_3175	chr1	chr1:10927197-10927769	4	8.48445	8.2578	6.07951	6.8319	0.0	0.0	0.0	0.0
EZH2_IP:Interval_14055	EZH2_IP	Interval_14055	chr10	chr10:42672651-42673707	4	17.5457	8.68252	0.0	7.09326	0.0	0.0	0.0	0.0
EZH2_IP:Interval_17868	EZH2_IP	Interval_17868	chr11	chr11:1663564-1664928	3	6.30856	12.5414	0.0	4.69179	0.0	0.0	0.0	0.0
EZH2_IP:Interval_21057	EZH2_IP	Interval_21057	chr11	chr11:72352619-72353494	4	10.2398	8.05574	7.87117	7.4677	0.0	0.0	0.0	0.0
EZH2_IP:Interval_26115	EZH2_IP	Interval_26115	chr14	chr14:75895048-75896037	4	6.05742	4.46373	6.03457	6.9331	0.0	0.0	0.0	0.0
EZH2_IP:Interval_30312	EZH2_IP	Interval_30312	chr16	chr16:1046374-1051985	4	0.0	10.9734	0.0	11.4815	0.0	0.0	0.0	0.0
EZH2_IP:Interval_33115	EZH2_IP	Interval_33115	chr16	chr16:85453956-85454672	4	7.97497	6.45365	5.48689	3.87626	0.0	0.0	0.0	0.0
EZH2_IP:Interval_37207	EZH2_IP	Interval_37207	chr17	chr17:46678560-46680428	4	9.86623	6.11871	0.0	7.79223	0.0	0.0	0.0	0.0
EZH2_IP:Interval_40586	EZH2_IP	Interval_40586	chr17	chr17:79075395-79076329	4	9.01132	8.42117	7.189	0.0	0.0	0.0	0.0	0.0
EZH2_IP:Interval_43972	EZH2_IP	Interval_43972	chr19	chr19:3876844-3877329	4	10.0543	7.27838	5.55359	4.93725	0.0	0.0	0.0	0.0
EZH2_IP:Interval_50730	EZH2_IP	Interval_50730	chr2	chr2:27071034-27072146	4	9.46284	7.95399	0.0	7.76279	0.0	0.0	0.0	0.0
EZH2_IP:Interval_56653	EZH2_IP	Interval_56653	chr20	chr20:43374229-43375297	4	10.5039	6.78647	7.2919	5.03441	0.0	0.0	0.0	0.0
EZH2_IP:Interval_58794	EZH2_IP	Interval_58794	chr20	chr20:62284487-62284868	4	10.049	7.42562	2.55021	5.10779	0.0	0.0	0.0	0.0
EZH2_IP:Interval_68066	EZH2_IP	Interval_68066	chr4	chr4:1642286-1642782	3	4.53428	13.3454	0.0	6.5389	0.0	0.0	0.0	0.0
EZH2_IP:Interval_68141	EZH2_IP	Interval_68141	chr4	chr4:1956816-1957153	4	20.6861	13.635	19.4376	9.18543	0.0	0.0	0.0	0.0
EZH2_IP:Interval_70494	EZH2_IP	Interval_70494	chr4	chr4:83482331-83482923	4	8.82035	9.79839	3.02695	4.72233	0.0	0.0	0.0	0.0
EZH2_IP:Interval_82282	EZH2_IP	Interval_82282	chr7	chr7:64973982-64975435	4	10.658	7.1188	0.0	5.94536	0.0	0.0	0.0	0.0
EZH2_IP:Interval_91008	EZH2_IP	Interval_91008	chr9	chr9:69785823-69786828	4	19.7142	8.68358	12.6956	5.79374	0.0	0.0	0.0	0.0
EZH2_IP:Interval_95359	EZH2_IP	Interval_95359	chr9	chr9:139141819-139142364	4	7.2099	5.68815	6.29694	5.89506	0.0	0.0	0.0	0.0
FOXA1_IP:Interval_631	FOXA1_IP	Interval_631	chr1	chr1:33225035-33225356	4	0.0	0.0	0.0	0.0	45.7244	34.0791	34.3646	38.1121
FOXA1_IP:Interval_2795	FOXA1_IP	Interval_2795	chr1	chr1:156441278-156441791	4	0.0	0.0	0.0	0.0	32.0213	32.5995	44.0536	40.863
FOXA1_IP:Interval_7366	FOXA1_IP	Interval_7366	chr10	chr10:117204889-117205136	4	0.0	0.0	0.0	0.0	38.6388	47.7272	26.8977	38.8526
FOXA1_IP:Interval_10181	FOXA1_IP	Interval_10181	chr12	chr12:6344506-6345025	4	0.0	0.0	0.0	0.0	44.9081	30.5597	34.9101	46.9838
FOXA1_IP:Interval_13906	FOXA1_IP	Interval_13906	chr13	chr13:36538882-36539165	4	0.0	0.0	0.0	0.0	23.7952	38.3573	31.1429	39.0532
FOXA1_IP:Interval_16322	FOXA1_IP	Interval_16322	chr14	chr14:79791457-79791787	4	0.0	0.0	0.0	0.0	31.6456	65.8914	31.1517	20.8401
FOXA1_IP:Interval_19147	FOXA1_IP	Interval_19147	chr16	chr16:23336061-23336520	4	0.0	0.0	0.0	0.0	44.1845	25.8395	28.2075	40.3406
FOXA1_IP:Interval_21740	FOXA1_IP	Interval_21740	chr17	chr17:76417535-76417953	4	0.0	0.0	0.0	0.0	42.7394	37.4553	38.5013	55.901
FOXA1_IP:Interval_23955	FOXA1_IP	Interval_23955	chr19	chr19:47274217-47274554	4	0.0	0.0	0.0	0.0	33.297	38.6283	38.3743	26.4946
FOXA1_IP:Interval_26663	FOXA1_IP	Interval_26663	chr2	chr2:127984161-127984533	4	0.0	0.0	0.0	0.0	28.3273	34.424	26.3128	43.4235
FOXA1_IP:Interval_28834	FOXA1_IP	Interval_28834	chr2	chr2:225350048-225350424	4	0.0	0.0	0.0	0.0	34.034	30.525	24.3781	50.8162
FOXA1_IP:Interval_31755	FOXA1_IP	Interval_31755	chr22	chr22:29218883-29219255	4	0.0	0.0	0.0	0.0	37.9646	24.283	34.0934	34.0809
FOXA1_IP:Interval_33627	FOXA1_IP	Interval_33627	chr3	chr3:71244674-71244959	4	0.0	0.0	0.0	0.0	20.3758	43.394	27.2382	55.7056
FOXA1_IP:Interval_37224	FOXA1_IP	Interval_37224	chr4	chr4:41134251-41134752	4	0.0	0.0	0.0	0.0	21.4951	48.7358	26.1763	36.3609
FOXA1_IP:Interval_41512	FOXA1_IP	Interval_41512	chr5	chr5:101558527-101558849	4	0.0	0.0	0.0	0.0	26.8936	40.824	37.9083	45.1187
FOXA1_IP:Interval_45228	FOXA1_IP	Interval_45228	chr6	chr6:90650176-90650455	4	0.0	0.0	0.0	0.0	28.7896	37.4414	28.4575	54.88
FOXA1_IP:Interval_47625	FOXA1_IP	Interval_47625	chr7	chr7:42192171-42192581	4	0.0	0.0	0.0	0.0	39.5761	36.7075	21.3988	30.8535
FOXA1_IP:Interval_51725	FOXA1_IP	Interval_51725	chr8	chr8:101654516-101654959	4	0.0	0.0	0.0	0.0	27.3333	35.8691	24.0973	55.901
FOXA1_IP:Interval_53783	FOXA1_IP	Interval_53783	chr9	chr9:92460986-92461342	4	0.0	0.0	0.0	0.0	21.2803	21.6342	28.198	59.2823
FOXA1_IP:Interval_56489	FOXA1_IP	Interval_56489	chrX	chrX:139574331-139574832	4	0.0	0.0	0.0	0.0	39.3133	67.9341	28.794	38.2812
