bin_id	sample	assembler	binner	contig	feature_id	ftype	start	end	strand	length_bp	gene	product
METAMDBG-MaxBin2-CAPES_S11.001	CAPES_S11	METAMDBG	MaxBin2	gnl|nfcore|FAKHBBDJ_1	FAKHBBDJ_00001	CDS	179	1147	+	969		hypothetical protein
METAMDBG-MaxBin2-CAPES_S21.001	CAPES_S21	METAMDBG	MaxBin2	gnl|nfcore|BOOONAAH_196	BOOONAAH_01692	CDS	4935	5258	+	324		hypothetical protein
METAMDBG-MaxBin2-CAPES_S21.001	CAPES_S21	METAMDBG	MaxBin2	gnl|nfcore|BOOONAAH_524	BOOONAAH_04540	CDS	3849	4403	-	555	glgA_1	Glycogen synthase
METAMDBG-MaxBin2-CAPES_S21.002	CAPES_S21	METAMDBG	MaxBin2	gnl|nfcore|CCBAKLHM_1178	CCBAKLHM_06535	CDS	7802	7969	+	168		hypothetical protein
METAMDBG-MaxBin2-CAPES_S21.002	CAPES_S21	METAMDBG	MaxBin2	gnl|nfcore|CCBAKLHM_1433	CCBAKLHM_09594	CDS	21280	21621	+	342		hypothetical protein
METAMDBG-MaxBin2-CAPES_S21.002	CAPES_S21	METAMDBG	MaxBin2	gnl|nfcore|CCBAKLHM_352	CCBAKLHM_02070	CDS	271	456	-	186		hypothetical protein
METAMDBG-MaxBin2-CAPES_S21.002	CAPES_S21	METAMDBG	MaxBin2	gnl|nfcore|CCBAKLHM_844	CCBAKLHM_04956	CDS	4167	4607	-	441		hypothetical protein
METAMDBG-MetaBAT2-CAPES_S21.2	CAPES_S21	METAMDBG	MetaBAT2	gnl|nfcore|HBNDPGPH_6	HBNDPGPH_00094	CDS	2012	2344	+	333		hypothetical protein
METAMDBG-MetaBAT2-CAPES_S21.8	CAPES_S21	METAMDBG	MetaBAT2	gnl|nfcore|OMAFOAJF_159	OMAFOAJF_01470	CDS	1796	2005	-	210	arcB_2	Ornithine carbamoyltransferase, catabolic
METAMDBG-MetaBAT2-CAPES_S7.10	CAPES_S7	METAMDBG	MetaBAT2	gnl|nfcore|OGBJPHFI_37	OGBJPHFI_00577	CDS	2001	2285	+	285		hypothetical protein
METAMDBG-MetaBAT2-CAPES_S7.13	CAPES_S7	METAMDBG	MetaBAT2	gnl|nfcore|AKHGOCBC_77	AKHGOCBC_01272	CDS	14591	15178	+	588		N-acetyldiaminopimelate deacetylase
METAMDBG-MetaBAT2-CAPES_S7.16	CAPES_S7	METAMDBG	MetaBAT2	gnl|nfcore|CJBGJIGI_1	CJBGJIGI_00038	CDS	23790	24035	+	246	fadA_2	3-ketoacyl-CoA thiolase
METAMDBG-MetaBAT2-CAPES_S7.20	CAPES_S7	METAMDBG	MetaBAT2	gnl|nfcore|DKPFDHND_5	DKPFDHND_00470	CDS	91212	91388	-	177		hypothetical protein
METAMDBG-MetaBAT2-CAPES_S7.26	CAPES_S7	METAMDBG	MetaBAT2	gnl|nfcore|KFHFDLBF_3	KFHFDLBF_00232	CDS	54435	54593	-	159	ybhF_3	putative multidrug ABC transporter ATP-binding protein YbhF
METAMDBG-MetaBAT2-CAPES_S7.5	CAPES_S7	METAMDBG	MetaBAT2	gnl|nfcore|ODGOHBJC_6	ODGOHBJC_00248	CDS	978	1253	-	276		hypothetical protein
