chrom	start	end	peak_id	score	peak_class
chr7	26658010	26658538	CTCF_001	9.91	TAD boundary
chr7	26878608	26879138	CTCF_002	4.64	internal
chr7	26967892	26968316	CTCF_003	4.73	internal
chr7	27090772	27091272	CTCF_004	12.97	loop anchor
chr7	27179284	27179840	CTCF_005	3.25	internal
chr7	27260734	27261198	CTCF_006	10.59	loop anchor
chr7	27271728	27272224	CTCF_007	9.02	TAD boundary
chr7	27331741	27332001	CTCF_008	4.22	internal
chr7	27648070	27648450	CTCF_009	3.4	internal
chr7	27747837	27748337	CTCF_010	4.52	internal
chr7	27820193	27820527	CTCF_011	11.52	TAD boundary
chr8	127138435	127138819	CTCF_012	10.11	TAD boundary
chr8	127291391	127291891	CTCF_013	4.56	internal
chr8	127511627	127512147	CTCF_014	14.13	loop anchor
chr8	127589336	127589804	CTCF_015	3.32	internal
chr8	127628158	127628708	CTCF_016	4.42	internal
chr8	127730086	127730568	CTCF_017	15.72	loop anchor
chr8	127811431	127812005	CTCF_018	3.23	internal
chr8	127848803	127849265	CTCF_019	3.56	internal
chr8	127981302	127981652	CTCF_020	3.5	internal
chr8	128019179	128019743	CTCF_021	13.66	loop anchor
chr8	128029278	128029662	CTCF_022	8.84	TAD boundary
chr8	128348749	128349141	CTCF_023	8.98	TAD boundary
chr11	1841195	1841643	CTCF_024	4.37	internal
chr11	1898281	1898707	CTCF_025	8.41	TAD boundary
chr11	1961712	1962278	CTCF_026	4.38	internal
chr11	2060978	2061306	CTCF_027	4.67	internal
chr11	2129880	2130254	CTCF_028	12.32	loop anchor
chr11	2418770	2419304	CTCF_029	14.32	loop anchor
chr11	2428164	2428632	CTCF_030	15.06	loop anchor
chr11	2698657	2698977	CTCF_031	3.12	internal
chr11	2860512	2860870	CTCF_032	3.57	internal
chr11	2899458	2899710	CTCF_033	16.22	loop anchor
chr11	2928377	2928893	CTCF_034	7.8	TAD boundary
chr11	2998218	2998504	CTCF_035	3.14	internal
