chrom	start	end	coverage	sample
chr7	26600000	26602000	1.82	GM12878_CTCF
chr7	26602000	26604000	1.85	GM12878_CTCF
chr7	26604000	26606000	2.16	GM12878_CTCF
chr7	26606000	26608000	2.18	GM12878_CTCF
chr7	26608000	26610000	1.79	GM12878_CTCF
chr7	26610000	26612000	2.02	GM12878_CTCF
chr7	26612000	26614000	2.16	GM12878_CTCF
chr7	26614000	26616000	1.77	GM12878_CTCF
chr7	26616000	26618000	1.96	GM12878_CTCF
chr7	26618000	26620000	1.87	GM12878_CTCF
chr7	26620000	26622000	1.79	GM12878_CTCF
chr7	26622000	26624000	1.77	GM12878_CTCF
chr7	26624000	26626000	2.11	GM12878_CTCF
chr7	26626000	26628000	1.78	GM12878_CTCF
chr7	26628000	26630000	1.72	GM12878_CTCF
chr7	26630000	26632000	2.29	GM12878_CTCF
chr7	26632000	26634000	2.23	GM12878_CTCF
chr7	26634000	26636000	1.88	GM12878_CTCF
chr7	26636000	26638000	1.94	GM12878_CTCF
chr7	26638000	26640000	2.01	GM12878_CTCF
chr7	26640000	26642000	2.26	GM12878_CTCF
chr7	26642000	26644000	2.02	GM12878_CTCF
chr7	26644000	26646000	2.25	GM12878_CTCF
chr7	26646000	26648000	1.95	GM12878_CTCF
chr7	26648000	26650000	2.22	GM12878_CTCF
chr7	26650000	26652000	1.97	GM12878_CTCF
chr7	26652000	26654000	1.91	GM12878_CTCF
chr7	26654000	26656000	1.94	GM12878_CTCF
chr7	26656000	26658000	19.2	GM12878_CTCF
chr7	26658000	26660000	39.37	GM12878_CTCF
chr7	26660000	26662000	2.68	GM12878_CTCF
chr7	26662000	26664000	1.87	GM12878_CTCF
chr7	26664000	26666000	2.17	GM12878_CTCF
chr7	26666000	26668000	1.98	GM12878_CTCF
chr7	26668000	26670000	1.73	GM12878_CTCF
chr7	26670000	26672000	1.98	GM12878_CTCF
chr7	26672000	26674000	1.8	GM12878_CTCF
chr7	26674000	26676000	2.15	GM12878_CTCF
chr7	26676000	26678000	1.81	GM12878_CTCF
chr7	26678000	26680000	2.27	GM12878_CTCF
chr7	26680000	26682000	1.72	GM12878_CTCF
chr7	26682000	26684000	1.92	GM12878_CTCF
chr7	26684000	26686000	2.25	GM12878_CTCF
chr7	26686000	26688000	1.95	GM12878_CTCF
chr7	26688000	26690000	2.29	GM12878_CTCF
chr7	26690000	26692000	2.0	GM12878_CTCF
chr7	26692000	26694000	1.93	GM12878_CTCF
chr7	26694000	26696000	2.18	GM12878_CTCF
chr7	26696000	26698000	2.19	GM12878_CTCF
chr7	26698000	26700000	1.96	GM12878_CTCF
chr7	26700000	26702000	1.7	GM12878_CTCF
chr7	26702000	26704000	1.97	GM12878_CTCF
