sample	clade	Nextclade_pango	totalSubstitutions	totalDeletions	totalInsertions	totalFrameShifts	totalMissing	totalNonACGTNs	alignmentScore	coverage	qc_overallScore	qc_overallStatus
SAMPLE_01	21L (BA.2)	BA.2	1	0	0	0	29535	0	60170.0	0.012306457546065613	11780.32716	bad
SAMPLE_02	20I (Alpha)	B.1.1.7	35	13	0	0	78	0	89432.0	0.9973915660636057	0.173611	good
SAMPLE_03	20I (Alpha)	B.1.1.7	32	4	0	0	240	0	89316.0	0.9919740494264789	0.0	good
SAMPLE_04	20I (Alpha)	B.1.1.7	35	13	0	0	77	0	89433.0	0.9974250075243286	0.173611	good
SAMPLE_05	20I (Alpha)	B.1.1.7	33	13	0	0	101	0	89417.0	0.9966224124669766	0.0	good
SAMPLE_06	20B	B.1.1	27	0	0	0	78	0	89523.0	0.9973915660636057	76.5625	mediocre
SAMPLE_07	20I (Alpha)	B.1.1.7	34	13	0	0	121	0	89393.0	0.9959535832525165	0.0	good
SAMPLE_08	20B	B.1.1	26	0	0	0	121	0	89484.0	0.9959535832525165	69.444444	mediocre
SAMPLE_09	20I (Alpha)	B.1.1.7	30	13	0	0	5090	0	84440.0	0.8297829649199077	314.733882	bad
SAMPLE_10	20I (Alpha)	B.1.1.7	33	4	0	0	82	0	89470.0	0.9972578002207136	0.0	good
SAMPLE_11	20I (Alpha)	B.1.1.7	35	4	0	0	77	0	89467.0	0.9974250075243286	0.0	good
SAMPLE_12	20I (Alpha)	B.1.1.7	32	4	0	0	85	0	89471.0	0.9971574758385446	0.0	good
SAMPLE_13	20I (Alpha)	B.1.1.7	1	0	0	0	28859	0	60846.0	0.034912884994816575	11188.154746	bad
SAMPLE_14	20I (Alpha)	B.1.1.7	32	13	0	0	395	0	89127.0	0.9867906230144132	0.1238	good
SAMPLE_15	20I (Alpha)	B.1.1.7	39	4	0	0	121	0	89407.0	0.9959535832525165	4.340278	good
SAMPLE_16	20I (Alpha)	B.1.1.7	33	13	0	0	121	0	89397.0	0.9959535832525165	0.0	good
SAMPLE_17	20I (Alpha)	B.1.1.7	29	13	0	0	1857	0	87677.0	0.9378992074373809	33.254444	mediocre
SAMPLE_18	20I (Alpha)	B.1.1.7	34	13	0	0	121	0	89393.0	0.9959535832525165	0.0	good
SAMPLE_19	20I (Alpha)	B.1.1.7	11	0	0	0	23407	0	66258.0	0.21723572885663645	7324.189973	bad
SAMPLE_20	20I (Alpha)	B.1.1.7	16	1	0	0	24657	0	64979.0	0.17543390295288097	8138.044568	bad
SAMPLE_21	20I (Alpha)	B.1.1.7	8	0	0	0	28488	0	61189.0	0.0473196669230512	10955.61	bad
SAMPLE_24	20I (Alpha)	B.1.1.7	34	13	0	0	111	0	89403.0	0.9962879978597465	0.0	good
SAMPLE_25	20I (Alpha)	B.1.1.7	34	4	0	0	612	0	88936.0	0.9795338260375214	1.335309	good
SAMPLE_27	20I (Alpha)	B.1.1.7	6	0	0	0	27361	0	62324.0	0.08500819315787714	10045.236228	bad
SAMPLE_28	20I (Alpha)	B.1.1.7	33	4	0	0	84	0	89468.0	0.9971909172992677	0.0	good
SAMPLE_29	20I (Alpha)	B.1.1.7	30	4	0	0	522	0	89042.0	0.9825435575025917	0.676049	good
SAMPLE_30	20I (Alpha)	B.1.1.7	34	4	0	0	121	0	89427.0	0.9959535832525165	0.0	good
SAMPLE_31	20I (Alpha)	B.1.1.7	4	1	0	0	28544	0	61140.0	0.045446945122562955	10942.709684	bad
SAMPLE_32	20I (Alpha)	B.1.1.7	33	4	0	0	131	0	89421.0	0.9956191686452864	0.0	good
SAMPLE_33	20I (Alpha)	B.1.1.7	31	13	0	0	114	0	89412.0	0.9961876734775775	0.0	good
SAMPLE_34	20I (Alpha)	B.1.1.7	32	4	0	0	736	0	88820.0	0.9753870849078687	2.607627	good
SAMPLE_35	20I (Alpha)	B.1.1.7	35	13	0	0	84	0	89426.0	0.9971909172992677	0.173611	good
SAMPLE_36	20I (Alpha)	B.1.1.7	31	4	0	0	168	0	89392.0	0.9943818345985352	0.0	good
SAMPLE_37	20I (Alpha)	B.1.1.7	31	13	0	0	83	0	89443.0	0.9972243587599906	0.173611	good
SAMPLE_38	20I (Alpha)	B.1.1.7	35	4	0	0	151	0	89393.0	0.9949503394308263	0.173611	good
SAMPLE_40	20I (Alpha)	B.1.1.7	29	1	1	1	12788	0	76788.0	0.57235060027422	2251.7338	bad
SAMPLE_41	20I (Alpha)	B.1.1.7	30	13	0	0	121	0	89409.0	0.9959535832525165	0.0	good
SAMPLE_42	20I (Alpha)	B.1.1.7	33	4	0	0	121	0	89431.0	0.9959535832525165	0.0	good
SAMPLE_43	20I (Alpha)	B.1.1.7	36	4	0	0	121	0	89419.0	0.9959535832525165	0.0	good
SAMPLE_44	20I (Alpha)	B.1.1.7	38	4	0	0	121	0	89411.0	0.9959535832525165	0.694444	good
SAMPLE_45	20I (Alpha)	B.1.1.7	32	4	0	0	107	0	89449.0	0.9964217637026386	0.0	good
SAMPLE_46	20I (Alpha)	B.1.1.7	33	4	0	0	736	0	88816.0	0.9753870849078687	2.607627	good
SAMPLE_47	20I (Alpha)	B.1.1.7	33	13	0	0	121	0	89397.0	0.9959535832525165	0.0	good
SAMPLE_48	20I (Alpha)	B.1.1.7	38	4	0	0	225	0	89307.0	0.9924756713373241	2.777778	good
