sample	orf_id	transcript_id	gene_id	gene_name	gene_type	chrom	strand	orf_type	orf_class	start_codon	aa_length	start_sites	frame_qvalue
SRX11780885	10:+:100360933	ENST00000370355	ENSG00000099194	SCD	protein_coding	10	+	Annotated	Annotated CDS	ATG	359	7	0.002241
SRX11780885	10:+:1017227	ENST00000360803	ENSG00000107937	GTPBP4	protein_coding	10	+	Annotated	Annotated CDS	ATG	634	12	0.015669
SRX11780885	10:+:102150029	ENST00000278070	ENSG00000148840	PPRC1	protein_coding	10	+	Annotated	Annotated CDS	ATG	1664	1	0.028488
SRX11780885	10:+:102382336	ENST00000673650	ENSG00000107862	GBF1	protein_coding	10	+	Truncated	N-terminal variant	ATG	1011	17	0.004525
SRX11780885	10:+:122514359	ENST00000368984	ENSG00000166033	HTRA1	protein_coding	10	+	Truncated	N-terminal variant	ATG	167	1	0.033584
SRX11780885	10:+:131955963	ENST00000455566	ENSG00000175470	PPP2R2D	protein_coding	10	+	Truncated	N-terminal variant	ATG	147	1	0.030464
SRX11780885	10:+:110603371	ENST00000684988	ENSG00000108055	SMC3	protein_coding	10	+	Novel:CDSFrameOverlap	Novel ORF	ATG	503	6	0.009495
SRX11780885	10:+:23137661	ENST00000415292	ENSG00000229932	YWHAZP3	processed_pseudogene	10	+	Novel	Novel ORF	ATG	168	4	0.030362
SRX11780885	10:+:50266746	ENST00000435916	ENSG00000225137	DYNC1I2P1	processed_pseudogene	10	+	Novel	Novel ORF	ATG	280	6	0.014477
SRX11780885	11:+:34082961	ENST00000341394	ENSG00000135387	CAPRIN1	protein_coding	11	+	Internal	Internal ORF	ATG	41	1	0.028154
SRX11780885	11:+:65978651	ENST00000312397	ENSG00000175467	SART1	protein_coding	11	+	Internal	Internal ORF	ATG	59	1	0.028154
SRX11780885	14:+:101975771	ENST00000681574	ENSG00000197102	DYNC1H1	protein_coding	14	+	Internal	Internal ORF	ATG	82	1	0.028154
SRX11780885	14:+:24166196	ENST00000558468	ENSG00000259529		protein_coding	14	+	3'UTR:CDSFrameOverlap	Downstream ORF	ATG	357	2	0.028154
SRX11780885	15:-:90969101	ENST00000643536	ENSG00000284946		protein_coding	15	-	3'UTR:CDSFrameOverlap	Downstream ORF	ATG	454	3	0.029056
SRX11780885	17:-:42404030	ENST00000357037	ENSG00000177469	CAVIN1	protein_coding	17	-	3'UTR	Downstream ORF	ATG	63	1	0.028154
SRX11780887	1:+:23961443	ENST00000647887	ENSG00000189266	PNRC2	protein_coding	1	+	5'UTR	Upstream ORF	ATG	42	3	0.027020
SRX11780887	2:-:47167647	ENST00000409563	ENSG00000143933	CALM2	protein_coding	2	-	5'UTR:CDSFrameOverlap	Upstream ORF	ATG	25	1	0.027020
SRX11780888	12:+:103930439	ENST00000681861	ENSG00000166598	HSP90B1	protein_coding	12	+	5'UTR	Upstream ORF	ATG	30	1	0.014904
