transcript_id	gene_id	gene_name	chrom	start	end	feature	strand	transcript_class	sample	expression
YAL001C	YAL001C	TFC3	I	147594	151006	exon	-	known	RAP1_IAA_30M_REP1	817.824646
YAL001C	YAL001C	TFC3	I	151097	151166	exon	-	known	RAP1_IAA_30M_REP1	817.824646
YAL002W	YAL002W	VPS8	I	143707	147531	exon	+	known	RAP1_IAA_30M_REP1	439.623383
YAL003W	YAL003W	EFB1	I	142174	142253	exon	+	known	RAP1_IAA_30M_REP1	59321.28125
YAL003W	YAL003W	EFB1	I	142620	143160	exon	+	known	RAP1_IAA_30M_REP1	59321.28125
YAL012W	YAL012W	CYS3	I	130799	131983	exon	+	known	RAP1_IAA_30M_REP1	11614.228516
YAL030W	YAL030W	SNC1	I	87286	87387	exon	+	known	RAP1_IAA_30M_REP1	2486.782959
YAL030W	YAL030W	SNC1	I	87501	87752	exon	+	known	RAP1_IAA_30M_REP1	2486.782959
YAL035W	YAL035W	FUN12	I	76427	79435	exon	+	known	RAP1_IAA_30M_REP1	6807.344238
YAR008W	YAR008W	SEN34	I	158966	159793	exon	+	known	RAP1_IAA_30M_REP1	642.007202
YAR035C-A	YAR035C-A	YAR035C-A	I	192337	192417	exon	-	known	RAP1_IAA_30M_REP1	0.0
tL(CAA)A	tL(CAA)A	SUP56	I	181141	181178	exon	+	known	RAP1_IAA_30M_REP1	0.0
tL(CAA)A	tL(CAA)A	SUP56	I	181211	181254	exon	+	known	RAP1_IAA_30M_REP1	0.0
tP(UGG)A	tP(UGG)A	TRN1	I	139152	139187	exon	+	known	RAP1_IAA_30M_REP1	0.0
tP(UGG)A	tP(UGG)A	TRN1	I	139219	139254	exon	+	known	RAP1_IAA_30M_REP1	0.0
YAL001C	YAL001C	TFC3	I	147594	151006	exon	-	known	WT_REP1	443.796234
YAL001C	YAL001C	TFC3	I	151097	151166	exon	-	known	WT_REP1	443.796234
YAL002W	YAL002W	VPS8	I	143707	147531	exon	+	known	WT_REP1	438.194519
YAL003W	YAL003W	EFB1	I	142174	142253	exon	+	known	WT_REP1	56309.441406
YAL003W	YAL003W	EFB1	I	142620	143160	exon	+	known	WT_REP1	56309.441406
YAL012W	YAL012W	CYS3	I	130799	131983	exon	+	known	WT_REP1	9770.251953
YAL030W	YAL030W	SNC1	I	87286	87387	exon	+	known	WT_REP1	1659.244995
YAL030W	YAL030W	SNC1	I	87501	87752	exon	+	known	WT_REP1	1659.244995
YAL035W	YAL035W	FUN12	I	76427	79435	exon	+	known	WT_REP1	6581.1875
YAR020C	YAR020C	PAU7	I	176856	177023	exon	-	known	WT_REP1	0.0
YAR035C-A	YAR035C-A	YAR035C-A	I	192337	192417	exon	-	known	WT_REP1	0.0
tL(CAA)A	tL(CAA)A	SUP56	I	181141	181178	exon	+	known	WT_REP1	0.0
tL(CAA)A	tL(CAA)A	SUP56	I	181211	181254	exon	+	known	WT_REP1	0.0
tP(UGG)A	tP(UGG)A	TRN1	I	139152	139187	exon	+	known	WT_REP1	349.190094
tP(UGG)A	tP(UGG)A	TRN1	I	139219	139254	exon	+	known	WT_REP1	349.190094
