feature_id	gene_symbol	gene_name	biotype	chromosome	start	end	strand	effect_size	significance	mean_expression	n_variants	top_consequence	pathway	ensembl_id	uniprot_id
GENE000	GENE000	protein coding gene 000	protein_coding	chr1	1000000	1074324	-	2.439	5.06e-05	4.397	19	missense	Interferon signalling	ENSG00000000000	P00000
GENE001	GENE001	lncRNA gene 001	lncRNA	chr2	1137000	1163662	+	0.117	0.337	10.229	10	synonymous	Cell cycle	ENSG00000000001	P00001
GENE002	GENE002	pseudogene gene 002	pseudogene	chr7	1274000	1354177	+	-0.092	0.813	5.803	12	frameshift	Oxidative phosphorylation	ENSG00000000002	P00002
GENE003	GENE003	protein coding gene 003	protein_coding	chr12	1411000	1427924	-	-0.572	0.607	7.725	15	stop_gained	Extracellular matrix	ENSG00000000003	P00003
GENE004	GENE004	lncRNA gene 004	lncRNA	chrX	1548000	1607501	+	3.341	5.62e-05	10.769	12	intronic	Unassigned	ENSG00000000004	P00004
GENE005	GENE005	pseudogene gene 005	pseudogene	chr1	1685000	1689982	+	-0.007	0.601	1.831	22	missense	Interferon signalling	ENSG00000000005	P00005
GENE006	GENE006	protein coding gene 006	protein_coding	chr2	1822000	1836241	-	0.463	0.832	6.567	14	synonymous	Cell cycle	ENSG00000000006	P00006
GENE007	GENE007	lncRNA gene 007	lncRNA	chr7	1959000	2008164	+	0.672	0.857	8.033	8	frameshift	Oxidative phosphorylation	ENSG00000000007	P00007
GENE008	GENE008	pseudogene gene 008	pseudogene	chr12	2096000	2118348	+	2.218	1.09e-05	2.167	14	stop_gained	Extracellular matrix	ENSG00000000008	P00008
GENE009	GENE009	protein coding gene 009	protein_coding	chrX	2233000	2248114	-	0.369	0.759	1.233	13	intronic	Unassigned	ENSG00000000009	P00009
GENE010	GENE010	lncRNA gene 010	lncRNA	chr1	2370000	2425585	+	0.564	0.438	3.803	23	missense	Interferon signalling	ENSG00000000010	P00010
GENE011	GENE011	pseudogene gene 011	pseudogene	chr2	2507000	2560766	+	-0.814	0.601	3.499	20	synonymous	Cell cycle	ENSG00000000011	P00011
GENE012	GENE012	protein coding gene 012	protein_coding	chr7	2644000	2684954	-	2.578	8.78e-05	4.243	10	frameshift	Oxidative phosphorylation	ENSG00000000012	P00012
GENE013	GENE013	lncRNA gene 013	lncRNA	chr12	2781000	2817900	+	-0.697	0.445	11.686	19	stop_gained	Extracellular matrix	ENSG00000000013	P00013
GENE014	GENE014	pseudogene gene 014	pseudogene	chrX	2918000	2985673	+	0.44	0.627	9.953	21	intronic	Unassigned	ENSG00000000014	P00014
GENE015	GENE015	protein coding gene 015	protein_coding	chr1	3055000	3101652	-	-0.248	0.101	5.235	20	missense	Interferon signalling	ENSG00000000015	P00015
GENE016	GENE016	lncRNA gene 016	lncRNA	chr2	3192000	3216700	+	2.2	5.87e-05	4.391	8	synonymous	Cell cycle	ENSG00000000016	P00016
GENE017	GENE017	pseudogene gene 017	pseudogene	chr7	3329000	3415604	+	-0.801	0.791	10.807	12	frameshift	Oxidative phosphorylation	ENSG00000000017	P00017
GENE018	GENE018	protein coding gene 018	protein_coding	chr12	3466000	3520480	-	-0.818	0.732	11.852	7	stop_gained	Extracellular matrix	ENSG00000000018	P00018
GENE019	GENE019	lncRNA gene 019	lncRNA	chrX	3603000	3683590	+	0.328	0.101	1.954	10	intronic	Unassigned	ENSG00000000019	P00019
GENE020	GENE020	pseudogene gene 020	pseudogene	chr1	3740000	3756653	+	1.723	1.04e-05	6.2	14	missense	Interferon signalling	ENSG00000000020	P00020
GENE021	GENE021	protein coding gene 021	protein_coding	chr2	3877000	3916202	-	-0.06	0.394	5.214	7	synonymous	Cell cycle	ENSG00000000021	P00021
GENE022	GENE022	lncRNA gene 022	lncRNA	chr7	4014000	4021027	+	0.318	0.487	8.281	4	frameshift	Oxidative phosphorylation	ENSG00000000022	P00022
GENE023	GENE023	pseudogene gene 023	pseudogene	chr12	4151000	4233079	+	-0.585	0.535	9.605	2	stop_gained	Extracellular matrix	ENSG00000000023	P00023
GENE024	GENE024	protein coding gene 024	protein_coding	chrX	4288000	4357170	-	3.2	2.56e-05	4.018	6	intronic	Unassigned	ENSG00000000024	P00024
GENE025	GENE025	lncRNA gene 025	lncRNA	chr1	4425000	4450147	+	-0.937	0.276	4.543	21	missense	Interferon signalling	ENSG00000000025	P00025
GENE026	GENE026	pseudogene gene 026	pseudogene	chr2	4562000	4595075	+	0.815	0.134	11.776	4	synonymous	Cell cycle	ENSG00000000026	P00026
GENE027	GENE027	protein coding gene 027	protein_coding	chr7	4699000	4776630	-	0.627	0.239	10.76	6	frameshift	Oxidative phosphorylation	ENSG00000000027	P00027
GENE028	GENE028	lncRNA gene 028	lncRNA	chr12	4836000	4923384	+	0.92	4.35e-05	4.391	19	stop_gained	Extracellular matrix	ENSG00000000028	P00028
GENE029	GENE029	pseudogene gene 029	pseudogene	chrX	4973000	4981335	+	-1.283	0.763	5.945	0	intronic	Unassigned	ENSG00000000029	P00029
GENE030	GENE030	protein coding gene 030	protein_coding	chr1	5110000	5157538	-	-0.871	0.472	7.765	9	missense	Interferon signalling	ENSG00000000030	P00030
GENE031	GENE031	lncRNA gene 031	lncRNA	chr2	5247000	5322658	+	0.994	0.272	7.407	5	synonymous	Cell cycle	ENSG00000000031	P00031
GENE032	GENE032	pseudogene gene 032	pseudogene	chr7	5384000	5396903	+	2.861	8.87e-05	1.828	16	frameshift	Oxidative phosphorylation	ENSG00000000032	P00032
GENE033	GENE033	protein coding gene 033	protein_coding	chr12	5521000	5610704	-	-0.098	0.545	7.417	5	stop_gained	Extracellular matrix	ENSG00000000033	P00033
GENE034	GENE034	lncRNA gene 034	lncRNA	chrX	5658000	5681584	+	0.017	0.103	2.388	7	intronic	Unassigned	ENSG00000000034	P00034
GENE035	GENE035	pseudogene gene 035	pseudogene	chr1	5795000	5878681	+	0.684	0.244	3.928	12	missense	Interferon signalling	ENSG00000000035	P00035
GENE036	GENE036	protein coding gene 036	protein_coding	chr2	5932000	5984978	-	2.841	7.44e-05	10.75	5	synonymous	Cell cycle	ENSG00000000036	P00036
GENE037	GENE037	lncRNA gene 037	lncRNA	chr7	6069000	6143263	+	-1.712	0.895	1.428	9	frameshift	Oxidative phosphorylation	ENSG00000000037	P00037
GENE038	GENE038	pseudogene gene 038	pseudogene	chr12	6206000	6249070	+	-0.879	0.356	10.579	13	stop_gained	Extracellular matrix	ENSG00000000038	P00038
GENE039	GENE039	protein coding gene 039	protein_coding	chrX	6343000	6391372	-	-0.58	0.76	3.548	24	intronic	Unassigned	ENSG00000000039	P00039
GENE040	GENE040	lncRNA gene 040	lncRNA	chr1	6480000	6566823	+	2.917	9.71e-05	3.19	7	missense	Interferon signalling	ENSG00000000040	P00040
GENE041	GENE041	pseudogene gene 041	pseudogene	chr2	6617000	6643846	+	0.807	0.834	2.329	0	synonymous	Cell cycle	ENSG00000000041	P00041
GENE042	GENE042	protein coding gene 042	protein_coding	chr7	6754000	6832382	-	-1.055	0.281	9.295	24	frameshift	Oxidative phosphorylation	ENSG00000000042	P00042
GENE043	GENE043	lncRNA gene 043	lncRNA	chr12	6891000	6931401	+	0.038	0.893	1.973	22	stop_gained	Extracellular matrix	ENSG00000000043	P00043
GENE044	GENE044	pseudogene gene 044	pseudogene	chrX	7028000	7102864	+	2.35	9.72e-05	8.867	16	intronic	Unassigned	ENSG00000000044	P00044
GENE045	GENE045	protein coding gene 045	protein_coding	chr1	7165000	7252435	-	0.549	0.742	2.864	5	missense	Interferon signalling	ENSG00000000045	P00045
GENE046	GENE046	lncRNA gene 046	lncRNA	chr2	7302000	7387706	+	0.024	0.757	6.066	22	synonymous	Cell cycle	ENSG00000000046	P00046
GENE047	GENE047	pseudogene gene 047	pseudogene	chr7	7439000	7484730	+	-0.261	0.277	5.623	11	frameshift	Oxidative phosphorylation	ENSG00000000047	P00047
GENE048	GENE048	protein coding gene 048	protein_coding	chr12	7576000	7632933	-	2.591	5.7e-05	11.851	19	stop_gained	Extracellular matrix	ENSG00000000048	P00048
GENE049	GENE049	lncRNA gene 049	lncRNA	chrX	7713000	7725790	+	-1.396	0.787	8.89	9	intronic	Unassigned	ENSG00000000049	P00049
GENE050	GENE050	pseudogene gene 050	pseudogene	chr1	7850000	7869015	+	0.027	0.144	4.795	17	missense	Interferon signalling	ENSG00000000050	P00050
GENE051	GENE051	protein coding gene 051	protein_coding	chr2	7987000	8071177	-	-0.377	0.912	5.282	16	synonymous	Cell cycle	ENSG00000000051	P00051
GENE052	GENE052	lncRNA gene 052	lncRNA	chr7	8124000	8172733	+	3.758	1.9e-05	9.989	15	frameshift	Oxidative phosphorylation	ENSG00000000052	P00052
GENE053	GENE053	pseudogene gene 053	pseudogene	chr12	8261000	8284040	+	0.099	0.894	6.973	17	stop_gained	Extracellular matrix	ENSG00000000053	P00053
GENE054	GENE054	protein coding gene 054	protein_coding	chrX	8398000	8479134	-	0.003	0.504	11.268	13	intronic	Unassigned	ENSG00000000054	P00054
GENE055	GENE055	lncRNA gene 055	lncRNA	chr1	8535000	8547661	+	0.289	0.577	10.293	15	missense	Interferon signalling	ENSG00000000055	P00055
GENE056	GENE056	pseudogene gene 056	pseudogene	chr2	8672000	8734549	+	2.431	3.48e-05	1.73	18	synonymous	Cell cycle	ENSG00000000056	P00056
GENE057	GENE057	protein coding gene 057	protein_coding	chr7	8809000	8864637	-	-0.108	0.754	7.626	2	frameshift	Oxidative phosphorylation	ENSG00000000057	P00057
GENE058	GENE058	lncRNA gene 058	lncRNA	chr12	8946000	8955337	+	-0.29	0.65	5.845	11	stop_gained	Extracellular matrix	ENSG00000000058	P00058
GENE059	GENE059	pseudogene gene 059	pseudogene	chrX	9083000	9150830	+	-0.031	0.613	6.728	18	intronic	Unassigned	ENSG00000000059	P00059
GENE060	GENE060	protein coding gene 060	protein_coding	chr1	9220000	9268512	-	1.531	3.24e-05	3.321	24	missense	Interferon signalling	ENSG00000000060	P00060
GENE061	GENE061	lncRNA gene 061	lncRNA	chr2	9357000	9419756	+	-0.273	0.548	11.365	14	synonymous	Cell cycle	ENSG00000000061	P00061
