sample	chrom	start	end	log2	baf	copy_number	segment	label
TUMOUR_A	chr1	0	20000	-0.02	0.506	2	bin	
TUMOUR_A	chr1	20000	40000	-0.067	0.5	2	bin	
TUMOUR_A	chr1	40000	60000	-0.008	0.497	2	bin	
TUMOUR_A	chr1	60000	80000	0.136	0.46	2	bin	
TUMOUR_A	chr1	80000	100000	-0.071	0.496	2	bin	
TUMOUR_A	chr1	100000	120000	0.119	0.478	2	bin	
TUMOUR_A	chr1	120000	140000	-0.213	0.513	2	bin	
TUMOUR_A	chr1	140000	160000	0.242	0.451	2	bin	
TUMOUR_A	chr1	160000	180000	0.063	0.465	2	bin	
TUMOUR_A	chr1	180000	200000	0.063	0.531	2	bin	
TUMOUR_A	chr1	200000	220000	-0.074	0.532	2	bin	
TUMOUR_A	chr1	220000	240000	-0.004	0.507	2	bin	
TUMOUR_A	chr1	240000	260000	-0.254	0.52	2	bin	
TUMOUR_A	chr1	260000	280000	-0.012	0.515	2	bin	
TUMOUR_A	chr1	280000	300000	0.233	0.522	2	bin	
TUMOUR_A	chr1	300000	320000	0.008	0.503	2	bin	
TUMOUR_A	chr1	320000	340000	-0.011	0.549	2	bin	
TUMOUR_A	chr1	340000	360000	0.167	0.523	2	bin	
TUMOUR_A	chr1	360000	380000	-0.117	0.523	2	bin	
TUMOUR_A	chr1	380000	400000	0.091	0.513	2	bin	
TUMOUR_A	chr1	400000	420000	0.027	0.476	2	bin	
TUMOUR_A	chr1	420000	440000	-0.014	0.476	2	bin	
TUMOUR_A	chr1	440000	460000	-0.073	0.44	2	bin	
TUMOUR_A	chr1	460000	480000	-0.02	0.557	2	bin	
TUMOUR_A	chr1	480000	500000	0.027	0.528	2	bin	
TUMOUR_A	chr1	500000	520000	0.088	0.451	2	bin	
TUMOUR_A	chr1	520000	540000	-0.151	0.499	2	bin	
TUMOUR_A	chr1	540000	560000	0.076	0.558	2	bin	
TUMOUR_A	chr1	560000	580000	-0.045	0.485	2	bin	
TUMOUR_A	chr1	580000	600000	-0.109	0.534	2	bin	
TUMOUR_A	chr1	600000	620000	0.025	0.502	2	bin	
TUMOUR_A	chr1	620000	640000	0.05	0.475	2	bin	
TUMOUR_A	chr1	640000	660000	0.124	0.486	2	bin	
TUMOUR_A	chr1	660000	680000	0.123	0.506	2	bin	
TUMOUR_A	chr1	680000	700000	-0.234	0.506	2	bin	
TUMOUR_A	chr1	700000	720000	0.033	0.434	2	bin	
TUMOUR_A	chr1	720000	740000	0.059	0.479	2	bin	
TUMOUR_A	chr1	740000	760000	0.241	0.536	2	bin	
TUMOUR_A	chr1	760000	780000	0.276	0.553	2	bin	
TUMOUR_A	chr1	780000	800000	-0.063	0.502	2	bin	
TUMOUR_A	chr1	800000	820000	0.089	0.523	2	bin	
TUMOUR_A	chr1	820000	840000	-0.021	0.51	2	bin	
TUMOUR_A	chr1	840000	860000	-0.046	0.522	2	bin	
TUMOUR_A	chr1	860000	880000	0.142	0.549	2	bin	
TUMOUR_A	chr1	880000	900000	0.04	0.461	2	bin	
TUMOUR_A	chr1	900000	920000	0.161	0.566	2	bin	
TUMOUR_A	chr1	920000	940000	-0.073	0.542	2	bin	
TUMOUR_A	chr1	940000	960000	-0.144	0.478	2	bin	
TUMOUR_A	chr1	960000	980000	0.164	0.525	2	bin	
TUMOUR_A	chr1	980000	1000000	0.188	0.487	2	bin	
TUMOUR_A	chr1	1000000	1020000	0.117	0.48	2	bin	
TUMOUR_A	chr1	1020000	1040000	-0.007	0.43	2	bin	
TUMOUR_A	chr1	1040000	1060000	0.046	0.469	2	bin	
TUMOUR_A	chr1	1060000	1080000	-0.042	0.509	2	bin	
TUMOUR_A	chr1	1080000	1100000	0.008	0.47	2	bin	
TUMOUR_A	chr1	1100000	1120000	-0.037	0.498	2	bin	
TUMOUR_A	chr1	1120000	1140000	-0.254	0.532	2	bin	
TUMOUR_A	chr1	1140000	1160000	-0.079	0.47	2	bin	
TUMOUR_A	chr1	1160000	1180000	0.335	0.479	2	bin	
TUMOUR_A	chr1	1180000	1200000	-0.045	0.607	2	bin	
TUMOUR_A	chr1	1200000	1220000	-0.208	0.498	2	bin	
TUMOUR_A	chr1	1220000	1240000	0.041	0.554	2	bin	
TUMOUR_A	chr1	1240000	1260000	-0.211	0.547	2	bin	
TUMOUR_A	chr1	1260000	1280000	0.072	0.514	2	bin	
TUMOUR_A	chr1	1280000	1300000	-0.001	0.493	2	bin	
TUMOUR_A	chr1	1300000	1320000	-0.016	0.487	2	bin	
TUMOUR_A	chr1	1320000	1340000	-0.067	0.485	2	bin	
TUMOUR_A	chr1	1340000	1360000	0.207	0.45	2	bin	
TUMOUR_A	chr1	1360000	1380000	0.054	0.532	2	bin	
TUMOUR_A	chr1	1380000	1400000	0.02	0.512	2	bin	
TUMOUR_A	chr1	1400000	1420000	-0.139	0.553	2	bin	
TUMOUR_A	chr1	1420000	1440000	-0.236	0.562	2	bin	
TUMOUR_A	chr1	1440000	1460000	0.17	0.56	2	bin	
TUMOUR_A	chr1	1460000	1480000	-0.115	0.43	2	bin	
TUMOUR_A	chr1	1480000	1500000	0.098	0.557	2	bin	
TUMOUR_A	chr1	1500000	1520000	-0.084	0.47	2	bin	
TUMOUR_A	chr1	1520000	1540000	-0.238	0.474	2	bin	
TUMOUR_A	chr1	1540000	1560000	-0.111	0.519	2	bin	
TUMOUR_A	chr1	1560000	1580000	-0.068	0.47	2	bin	
TUMOUR_A	chr1	1580000	1600000	-0.156	0.483	2	bin	
TUMOUR_A	chr1	1600000	1620000	0.163	0.479	2	bin	
TUMOUR_A	chr1	1620000	1640000	0.078	0.489	2	bin	
TUMOUR_A	chr1	1640000	1660000	-0.177	0.511	2	bin	
TUMOUR_A	chr1	1660000	1680000	-0.011	0.499	2	bin	
TUMOUR_A	chr1	1680000	1700000	0.08	0.415	2	bin	
TUMOUR_A	chr1	1700000	1720000	-0.136	0.544	2	bin	
TUMOUR_A	chr1	1720000	1740000	-0.125	0.428	2	bin	
TUMOUR_A	chr1	1740000	1760000	0.137	0.497	2	bin	
TUMOUR_A	chr1	1760000	1780000	-0.046	0.504	2	bin	
TUMOUR_A	chr1	1780000	1800000	-0.268	0.458	2	bin	
TUMOUR_A	chr1	1800000	1820000	-0.016	0.467	2	bin	
TUMOUR_A	chr1	1820000	1840000	-0.205	0.539	2	bin	
TUMOUR_A	chr1	1840000	1860000	-0.049	0.478	2	bin	
TUMOUR_A	chr1	1860000	1880000	-0.054	0.479	2	bin	
TUMOUR_A	chr1	1880000	1900000	-0.103	0.478	2	bin	
TUMOUR_A	chr1	1900000	1920000	0.031	0.531	2	bin	
TUMOUR_A	chr1	1920000	1940000	0.076	0.516	2	bin	
TUMOUR_A	chr1	1940000	1960000	0.047	0.542	2	bin	
TUMOUR_A	chr1	1960000	1980000	-0.104	0.475	2	bin	
TUMOUR_A	chr1	1980000	2000000	-0.037	0.591	2	bin	
TUMOUR_A	chr1	2000000	2020000	0.047	0.548	2	bin	
TUMOUR_A	chr1	2020000	2040000	0.108	0.434	2	bin	
TUMOUR_A	chr1	2040000	2060000	0.237	0.544	2	bin	
TUMOUR_A	chr1	2060000	2080000	-0.23	0.546	2	bin	
TUMOUR_A	chr1	2080000	2100000	-0.031	0.493	2	bin	
TUMOUR_A	chr1	2100000	2120000	0.082	0.507	2	bin	
TUMOUR_A	chr1	2120000	2140000	-0.115	0.478	2	bin	
TUMOUR_A	chr1	2140000	2160000	-0.039	0.508	2	bin	
TUMOUR_A	chr1	2160000	2180000	-0.152	0.475	2	bin	
TUMOUR_A	chr1	2180000	2200000	-0.138	0.471	2	bin	
TUMOUR_A	chr1	2200000	2220000	0.282	0.485	2	bin	
TUMOUR_A	chr1	2220000	2240000	0.034	0.52	2	bin	
TUMOUR_A	chr1	2240000	2260000	-0.113	0.493	2	bin	
TUMOUR_A	chr1	2260000	2280000	0.151	0.529	2	bin	
TUMOUR_A	chr1	2280000	2300000	0.307	0.48	2	bin	
TUMOUR_A	chr1	2300000	2320000	-0.055	0.516	2	bin	
TUMOUR_A	chr1	2320000	2340000	-0.022	0.483	2	bin	
TUMOUR_A	chr1	2340000	2360000	0.019	0.538	2	bin	
TUMOUR_A	chr1	2360000	2380000	-0.118	0.477	2	bin	
TUMOUR_A	chr1	2380000	2400000	-0.074	0.487	2	bin	
TUMOUR_A	chr1	2400000	2420000	-0.118	0.494	2	bin	
TUMOUR_A	chr1	2420000	2440000	0.006	0.524	2	bin	
TUMOUR_A	chr1	2440000	2460000	0.028	0.48	2	bin	
TUMOUR_A	chr1	2460000	2480000	0.03	0.509	2	bin	
TUMOUR_A	chr1	2480000	2500000	0.039	0.535	2	bin	
TUMOUR_A	chr1	2500000	2520000	-0.081	0.516	2	bin	
TUMOUR_A	chr1	2520000	2540000	-0.037	0.449	2	bin	
TUMOUR_A	chr1	2540000	2560000	0.08	0.466	2	bin	
TUMOUR_A	chr1	2560000	2580000	0.033	0.482	2	bin	
TUMOUR_A	chr1	2580000	2600000	-0.08	0.507	2	bin	
TUMOUR_A	chr1	2600000	2620000	-0.108	0.516	2	bin	
TUMOUR_A	chr1	2620000	2640000	-0.008	0.461	2	bin	
TUMOUR_A	chr1	2640000	2660000	-0.002	0.522	2	bin	
TUMOUR_A	chr1	2660000	2680000	-0.039	0.479	2	bin	
TUMOUR_A	chr1	2680000	2700000	0.15	0.463	2	bin	
TUMOUR_A	chr1	2700000	2720000	-0.057	0.473	2	bin	
TUMOUR_A	chr1	2720000	2740000	-0.016	0.544	2	bin	
TUMOUR_A	chr1	2740000	2760000	0.178	0.508	2	bin	
TUMOUR_A	chr1	2760000	2780000	0.166	0.506	2	bin	
TUMOUR_A	chr1	2780000	2800000	0.139	0.513	2	bin	
TUMOUR_A	chr1	2800000	2820000	-0.027	0.522	2	bin	
TUMOUR_A	chr1	2820000	2840000	-0.003	0.475	2	bin	
TUMOUR_A	chr1	2840000	2860000	-0.192	0.505	2	bin	
TUMOUR_A	chr1	2860000	2880000	-0.279	0.515	2	bin	
TUMOUR_A	chr1	2880000	2900000	-0.079	0.514	2	bin	
TUMOUR_A	chr1	2900000	2920000	0.062	0.506	2	bin	
TUMOUR_A	chr1	2920000	2940000	-0.096	0.454	2	bin	
TUMOUR_A	chr1	2940000	2960000	-0.006	0.477	2	bin	
TUMOUR_A	chr1	2960000	2980000	-0.01	0.503	2	bin	
TUMOUR_A	chr1	2980000	3000000	-0.144	0.524	2	bin	
TUMOUR_A	chr1	3000000	3020000	-0.205	0.509	2	bin	
TUMOUR_A	chr1	3020000	3040000	-0.18	0.484	2	bin	
TUMOUR_A	chr1	3040000	3060000	0.064	0.571	2	bin	
TUMOUR_A	chr1	3060000	3080000	-0.047	0.451	2	bin	
TUMOUR_A	chr1	3080000	3100000	0.065	0.457	2	bin	
TUMOUR_A	chr1	3100000	3120000	-0.15	0.499	2	bin	
TUMOUR_A	chr1	3120000	3140000	0.024	0.542	2	bin	
TUMOUR_A	chr1	3140000	3160000	0.001	0.541	2	bin	
TUMOUR_A	chr1	3160000	3180000	-0.065	0.433	2	bin	
TUMOUR_A	chr1	3180000	3200000	0.095	0.526	2	bin	
TUMOUR_A	chr1	3200000	3220000	0.003	0.495	2	bin	
TUMOUR_A	chr1	3220000	3240000	-0.15	0.449	2	bin	
TUMOUR_A	chr1	3240000	3260000	0.019	0.526	2	bin	
TUMOUR_A	chr1	3260000	3280000	0.122	0.501	2	bin	
TUMOUR_A	chr1	3280000	3300000	-0.091	0.561	2	bin	
TUMOUR_A	chr1	3300000	3320000	0.089	0.486	2	bin	
TUMOUR_A	chr1	3320000	3340000	-0.025	0.484	2	bin	
TUMOUR_A	chr1	3340000	3360000	-0.03	0.426	2	bin	
TUMOUR_A	chr1	3360000	3380000	-0.205	0.497	2	bin	
TUMOUR_A	chr1	3380000	3400000	0.002	0.486	2	bin	
TUMOUR_A	chr1	3400000	3420000	0.129	0.517	2	bin	
TUMOUR_A	chr1	3420000	3440000	0.03	0.542	2	bin	
TUMOUR_A	chr1	3440000	3460000	0.079	0.507	2	bin	
TUMOUR_A	chr1	3460000	3480000	0.356	0.475	2	bin	
TUMOUR_A	chr1	3480000	3500000	0.053	0.449	2	bin	
TUMOUR_A	chr1	3500000	3520000	0.131	0.554	2	bin	
TUMOUR_A	chr1	3520000	3540000	-0.171	0.497	2	bin	
TUMOUR_A	chr1	3540000	3560000	0.015	0.493	2	bin	
TUMOUR_A	chr1	3560000	3580000	0.063	0.505	2	bin	
TUMOUR_A	chr1	3580000	3600000	0.036	0.467	2	bin	
TUMOUR_A	chr1	3600000	3620000	-0.058	0.505	2	bin	
TUMOUR_A	chr1	3620000	3640000	0.146	0.532	2	bin	
TUMOUR_A	chr1	3640000	3660000	0.019	0.471	2	bin	
TUMOUR_A	chr1	3660000	3680000	-0.076	0.5	2	bin	
TUMOUR_A	chr1	3680000	3700000	0.055	0.495	2	bin	
TUMOUR_A	chr1	3700000	3720000	0.221	0.519	2	bin	
TUMOUR_A	chr1	3720000	3740000	0.081	0.478	2	bin	
TUMOUR_A	chr1	3740000	3760000	-0.117	0.516	2	bin	
TUMOUR_A	chr1	3760000	3780000	-0.133	0.468	2	bin	
TUMOUR_A	chr1	3780000	3800000	-0.055	0.425	2	bin	
TUMOUR_A	chr1	3800000	3820000	-0.008	0.466	2	bin	
