bin_id	sample	assembler	binner	n_contigs	bases	cds	genes	trna	rrna	tmrna	repeat_regions	cds_per_mbp	meets_mimag_rna
FLYE-MaxBin2-CAPES_S11.001	CAPES_S11	FLYE	MaxBin2	9	7482446	14926	15060	132	0	2	3	1994.8022344564868	false
FLYE-MetaBAT2-CAPES_S11.25	CAPES_S11	FLYE	MetaBAT2	4	585242	1419	1438	15	4	0	0	2424.638012992916	false
FLYE-MetaBinner-CAPES_S11.3	CAPES_S11	FLYE	MetaBinner	11	2772224	4630	4705	59	15	1	1	1670.139209529966	true
FLYE-SemiBin2-CAPES_S11_35	CAPES_S11	FLYE	SemiBin2	1	205180	391	395	4	0	0	0	1905.643824934204	false
MEGAHIT-COMEBin-CAPES_S7.6990	CAPES_S7	MEGAHIT	COMEBin	433	2161127	1963	1993	26	3	1	3	908.322370688997	true
MEGAHIT-MetaBAT2-CAPES_S21.34	CAPES_S21	MEGAHIT	MetaBAT2	14	799995	660	669	9	0	0	0	825.0051562822267	false
MEGAHIT-MetaBAT2-CAPES_S7.27	CAPES_S7	MEGAHIT	MetaBAT2	17	449173	300	303	3	0	0	0	667.8941076155512	false
MEGAHIT-MetaBinner-CAPES_S21.4	CAPES_S21	MEGAHIT	MetaBinner	127	1831802	1731	1765	31	2	1	1	944.9711267920878	false
MEGAHIT-SemiBin2-CAPES_S21_4	CAPES_S21	MEGAHIT	SemiBin2	62	4264000	3406	3460	52	1	1	2	798.780487804878	false
METAMDBG-MetaBAT2-CAPES_S7.18	CAPES_S7	METAMDBG	MetaBAT2	13	310769	464	466	2	0	0	0	1493.0704156463485	false
SPAdes-MetaBAT2-CAPES_S11.18	CAPES_S11	SPAdes	MetaBAT2	11	284737	242	249	7	0	0	0	849.9071072603842	false
SPAdes-MetaBAT2-CAPES_S11.44	CAPES_S11	SPAdes	MetaBAT2	5	343537	262	265	3	0	0	0	762.6543865726254	false
SPAdes-MetaBAT2-CAPES_S21.27	CAPES_S21	SPAdes	MetaBAT2	1102	2936362	2551	2554	3	0	0	0	868.7620940469874	false
SPAdes-MetaBAT2-CAPES_S7.24	CAPES_S7	SPAdes	MetaBAT2	3	286374	234	243	9	0	0	0	817.1132854239562	false
SPAdes-MetaBinner-CAPES_S11.17	CAPES_S11	SPAdes	MetaBinner	234	3072598	2620	2641	20	0	1	0	852.6985957811598	false
