bin_id	sample	assembler	binner	completeness	contamination	quality_score	quality_tier	coding_density	contig_n50	genome_size	gc_content	total_coding_sequences	total_contigs	max_contig_length	completeness_model
FLYE-MaxBin2-CAPES_S11.001	CAPES_S11	FLYE	MaxBin2	72.57	16.41	-9.480000000000004	Contaminated	0.758	2331977	7482446	0.39	14947	9	2517759	Gradient Boost (General Model)
FLYE-MetaBAT2-CAPES_S11.23	CAPES_S11	FLYE	MetaBAT2	38.36	1.01	33.31	Low quality	0.741	270364	3791575	0.45	9075	17	1254450	Gradient Boost (General Model)
FLYE-MetaBAT2-CAPES_S11.9	CAPES_S11	FLYE	MetaBAT2	3.69	0.01	3.64	Low quality	0.775	30530	202511	0.59	255	8	37343	Neural Network (Specific Model)
MEGAHIT-MetaBAT2-CAPES_S21.10	CAPES_S21	MEGAHIT	MetaBAT2	13.9	0.07	13.55	Low quality	0.9	4102	729867	0.5	752	196	12952	Neural Network (Specific Model)
MEGAHIT-MetaBAT2-CAPES_S21.36	CAPES_S21	MEGAHIT	MetaBAT2	84.75	0.09	84.3	Medium quality	0.9	102432	3739637	0.44	2996	57	278801	Neural Network (Specific Model)
MEGAHIT-MetaBAT2-CAPES_S7.26	CAPES_S7	MEGAHIT	MetaBAT2	72.06	7.46	34.760000000000005	Medium quality	0.901	4991	4112835	0.53	4503	971	25536	Neural Network (Specific Model)
MEGAHIT-MetaBinner-CAPES_S21.2	CAPES_S21	MEGAHIT	MetaBinner	90.21	0.52	87.61	High quality	0.915	30462	4218934	0.46	3456	208	96063	Neural Network (Specific Model)
MEGAHIT-SemiBin2-CAPES_S21_18	CAPES_S21	MEGAHIT	SemiBin2	17.63	0.07	17.279999999999998	Low quality	0.909	4940	599733	0.51	598	131	14876	Neural Network (Specific Model)
METAMDBG-MetaBAT2-CAPES_S21.8	CAPES_S21	METAMDBG	MetaBAT2	14.36	3.25	-1.8900000000000006	Low quality	0.506	5744	1070787	0.46	2003	209	15409	Neural Network (Specific Model)
METAMDBG-MetaBAT2-CAPES_S7.7	CAPES_S7	METAMDBG	MetaBAT2	10.8	0.22	9.700000000000001	Low quality	0.829	607990	607990	0.43	995	1	607990	Neural Network (Specific Model)
SPAdes-MetaBAT2-CAPES_S11.31	CAPES_S11	SPAdes	MetaBAT2	9.79	0.03	9.639999999999999	Low quality	0.96	1972	403712	0.6	416	198	5226	Neural Network (Specific Model)
SPAdes-MetaBAT2-CAPES_S21.13	CAPES_S21	SPAdes	MetaBAT2	5.45	0.0	5.45	Low quality	0.924	93449	312713	0.41	207	3	136537	Neural Network (Specific Model)
SPAdes-MetaBAT2-CAPES_S7.1	CAPES_S7	SPAdes	MetaBAT2	10.06	0.01	10.01	Low quality	0.919	34320	602264	0.44	426	23	76861	Neural Network (Specific Model)
SPAdes-MetaBAT2-CAPES_S7.35	CAPES_S7	SPAdes	MetaBAT2	6.96	0.0	6.96	Low quality	0.888	20969	222435	0.52	212	21	43796	Neural Network (Specific Model)
SPAdes-MetaBinner-CAPES_S11.6	CAPES_S11	SPAdes	MetaBinner	96.3	2.77	82.45	High quality	0.903	56138	4346682	0.42	3603	213	170020	Neural Network (Specific Model)
