sample	contig	contig_length	contig_coverage	arg_hits	amp_candidates	bgc_regions	cazyme_genes	features	screens_on_contig	features_per_kb	top_screen
ERZ1664501	ERZ1664501.177-NODE-177-length-3684-cov-10.941857	3684	10.941857	5	0	0	0	5	1	1.3572204125950054	ARG
ERZ1664501	ERZ1664501.1237-NODE-1237-length-1827-cov-7.309255	1827	7.309255	4	0	0	0	4	1	2.1893814997263275	ARG
ERZ1664501	ERZ1664501.2949-NODE-2949-length-1251-cov-2.491639	1251	2.491639	4	0	0	0	4	1	3.1974420463629096	ARG
ERZ1664501	ERZ1664501.3278-NODE-3278-length-1195-cov-2.320175	1195	2.320175	4	0	0	0	4	1	3.3472803347280333	ARG
ERZ1664501	ERZ1664501.328-NODE-328-length-3057-cov-10.476016	3057	10.476016	4	0	0	0	4	1	1.3084723585214262	ARG
ERZ1664501	ERZ1664501.3476-NODE-3476-length-1161-cov-4.301989	1161	4.301989	4	0	0	0	4	1	3.4453057708871664	ARG
ERZ1664501	ERZ1664501.491-NODE-491-length-2669-cov-3.423871	2669	3.423871	4	0	0	0	4	1	1.4986886474334957	ARG
ERZ1664501	ERZ1664501.12-NODE-12-length-7275-cov-3.557202	7275	3.557202	0	1	0	2	3	2	0.41237113402061853	CAZyme
ERZ1664501	ERZ1664501.1210-NODE-1210-length-1845-cov-4.297765	1845	4.297765	3	0	0	0	3	1	1.6260162601626016	ARG
ERZ1664501	ERZ1664501.15805-NODE-15805-length-578-cov-0.885277	578	0.885277	0	1	0	2	3	2	5.190311418685121	CAZyme
ERZ1664501	ERZ1664501.196-NODE-196-length-3561-cov-2.403023	3561	2.403023	0	0	0	3	3	1	0.8424599831508003	CAZyme
ERZ1664501	ERZ1664501.21101-NODE-21101-length-502-cov-1.147651	502	1.147651	0	2	0	1	3	2	5.9760956175298805	AMP
ERZ1664501	ERZ1664501.264-NODE-264-length-3269-cov-2.773491	3269	2.773491	0	0	0	3	3	1	0.9177118384827164	CAZyme
ERZ1664501	ERZ1664501.324-NODE-324-length-3058-cov-6.586747	3058	6.586747	3	0	0	0	3	1	0.9810333551340745	ARG
ERZ1664501	ERZ1664501.4260-NODE-4260-length-1059-cov-2.108566	1059	2.108566	3	0	0	0	3	1	2.8328611898016995	ARG
ERZ1664501	ERZ1664501.84-NODE-84-length-4452-cov-4.143962	4452	4.143962	0	0	0	3	3	1	0.6738544474393531	CAZyme
ERZ1664501	ERZ1664501.9-NODE-9-length-8445-cov-6.700000	8445	6.7	3	0	0	0	3	1	0.3552397868561279	ARG
ERZ1664501	ERZ1664501.542-NODE-542-length-2577-cov-3.882236	2577	3.882236	0	1	0	1	2	2	0.7760962359332557	AMP
