assembly_id	sequence	asm_only_kmers	total_kmers	qv	error_rate	error_free
test_hifi_flye_assembly	contig_58	1811	16485607	52.8138	5.23139e-6	no
test_hifi_flye_assembly	contig_38	1553	14274092	52.8557	5.18115e-6	no
test_hifi_flye_assembly	contig_83	941	11394099	54.0529	3.93285e-6	no
test_hifi_flye_links	scaffold1,16485627,f38Z16485627	1811	16485607	52.8138	5.23139e-6	no
test_hifi_flye_links	scaffold2,14274112,f21Z14274112	1553	14274092	52.8557	5.18115e-6	no
test_hifi_flye_links	scaffold3,11394119,f61Z11394119	941	11394099	54.0529	3.93285e-6	no
test_hifi_flye_ragtag	Chr1_RagTag	3566	32366504	52.8011	5.24673e-6	no
test_hifi_flye_ragtag	Chr5_RagTag	3885	29758035	52.0641	6.21719e-6	no
test_hifi_flye_ragtag	Chr3_RagTag	2606	26083468	53.2259	4.75785e-6	no
test_hifi_hifiasm_assembly	ptg000003l	3528	32640026	52.8842	5.14732e-6	no
test_hifi_hifiasm_assembly	ptg000002l	3193	30141614	52.9716	5.0447e-6	no
test_hifi_hifiasm_assembly	ptg000007l	2593	26150947	53.2588	4.72189e-6	no
test_hifi_hifiasm_pilon	ptg000003l_pilon	3266	32630304	53.218	4.76647e-6	no
test_hifi_hifiasm_pilon	ptg000002l_pilon	2810	30103165	53.5211	4.44523e-6	no
test_hifi_hifiasm_pilon	ptg000007l_pilon	2361	26138438	53.6638	4.30146e-6	no
test_hifiasm_flye_assembly	scf00000000	2723	21755358	52.2471	5.96057e-6	no
test_hifiasm_flye_assembly	seq00000025	1553	14274092	52.8557	5.18115e-6	no
test_hifiasm_flye_assembly	seq00000060	939	11394097	54.0622	3.92449e-6	no
