bin_id	sample	assembler	binner	marker_set	domain	phylum	class_name	order	family	genus	species	rank_assigned	classification	closest_reference	closest_ani	closest_af	classification_method	msa_percent	bin_count
FLYE-MaxBin2-CAPES_S11.002	CAPES_S11	FLYE	MaxBin2	bac120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola dorei	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	GCF_013009555.1	98.86	0.824	ani_screen		1
FLYE-MetaBinner-CAPES_S11.1	CAPES_S11	FLYE	MetaBinner	bac120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	GCF_000025985.1	98.47	0.84	ani_screen		1
MEGAHIT-MetaBAT2-CAPES_S21.25	CAPES_S21	MEGAHIT	MetaBAT2	bac120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	GCF_001314995.1	96.92	0.734	ani_screen		1
MEGAHIT-MetaBAT2-CAPES_S7.26	CAPES_S7	MEGAHIT	MetaBAT2	bac120	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	species	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter werkmanii	GCF_000759755.1	96.31	0.715	ani_screen		1
MEGAHIT-MetaBinner-CAPES_S21.5	CAPES_S21	MEGAHIT	MetaBinner	bac120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides hominis	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides hominis	GCF_040094755.1	98.62	0.817	ani_screen		1
MEGAHIT-MetaBinner-CAPES_S7.5	CAPES_S7	MEGAHIT	MetaBinner	bac120	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	species	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	GCF_004346095.1	98.83	0.765	ani_screen		1
MEGAHIT-SemiBin2-CAPES_S21_4	CAPES_S21	MEGAHIT	SemiBin2	bac120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides hominis	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides hominis	GCF_040094755.1	98.69	0.866	ani_screen		1
SPAdes-MetaBAT2-CAPES_S11.22	CAPES_S11	SPAdes	MetaBAT2	bac120	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia faecis	species	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis	GCF_045061065.1	98.5	0.865	ani_screen		1
SPAdes-MetaBAT2-CAPES_S11.4	CAPES_S11	SPAdes	MetaBAT2	bac120	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	species	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GCF_000010425.1	98.27	0.792	ani_screen		1
SPAdes-MetaBAT2-CAPES_S21.2	CAPES_S21	SPAdes	MetaBAT2	bac120	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_F	Parasutterella	Parasutterella gallistercoris	species	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Parasutterella;s__Parasutterella gallistercoris	GCA_019113195.1	98.25	0.893	ani_screen		1
SPAdes-MetaBAT2-CAPES_S7.5	CAPES_S7	SPAdes	MetaBAT2	bac120	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	species	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	GCF_004346095.1	98.78	0.898	ani_screen		1
SPAdes-MetaBinner-CAPES_S11.18	CAPES_S11	SPAdes	MetaBinner	bac120	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_A	species	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	GCF_009680455.1	97.81	0.868	ani_screen		1
SPAdes-MetaBinner-CAPES_S11.7	CAPES_S11	SPAdes	MetaBinner	bac120	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_F	Sutterella	Sutterella wadsworthensis	species	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Sutterella;s__Sutterella wadsworthensis	GCF_003315195.1	97.81	0.923	ani_screen		1
SPAdes-MetaBinner-CAPES_S21.5	CAPES_S21	SPAdes	MetaBinner	bac120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides hominis	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides hominis	GCF_040094755.1	98.54	0.818	ani_screen		1
SPAdes-MetaBinner-CAPES_S7.6	CAPES_S7	SPAdes	MetaBinner	bac120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	species	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	GCF_000011065.1	98.37	0.873	ani_screen		1
