window_id	chromosome	position	start	end	group_a	group_b	mean_a	mean_b	delta_methylation	t_statistic	p_value	padj	neg_log10_padj	direction	n_cpg_min
chr14:36490000-36500000	chr14	36495000	36490000	36500000	MShef11	MShef4	54.76646597336253	79.03253025477954	-24.266064281417016	-30.657984914087574	6.928638581975907e-7	0.01340691565612338	1.8726711227893986	Hypomethylated	21
chr9:29400000-29410000	chr9	29405000	29400000	29410000	MShef11	MShef4	89.2751801575331	77.74748774748775	11.527692410045347	17.21534871919504	0.00001211019077262764	0.1171660957251724	0.9311980416427207	Not significant	27
chr10:32560000-32570000	chr10	32565000	32560000	32570000	MShef11	MShef4	94.30223046470094	88.80857314080998	5.493657323890957	12.777040195833834	0.000052247328602240365	0.25274645211333774	0.5973149320313801	Not significant	31
chr11:28130000-28140000	chr11	28135000	28130000	28140000	MShef11	MShef4	94.9381300943801	89.70067144536526	5.23745864901484	12.84712904031389	0.00005087286943158204	0.25274645211333774	0.5973149320313801	Not significant	21
chr1:123750000-123760000	chr1	123755000	123750000	123760000	MShef11	MShef4	84.46661547834898	80.00578316151308	4.460832316835905	10.581937163983591	0.00013025557002743968	0.27225417082022035	0.5650254583110966	Not significant	61
chr10:58760000-58770000	chr10	58765000	58760000	58770000	MShef11	MShef4	96.55012155012156	90.59013280169142	5.959988748430135	7.716730549667566	0.0005834546763202849	0.27225417082022035	0.5650254583110966	Not significant	36
chr10:94360000-94370000	chr10	94365000	94360000	94370000	MShef11	MShef4	89.08806739069898	61.264687811024565	27.823379579674416	9.642589809255664	0.00020349278402273012	0.27225417082022035	0.5650254583110966	Not significant	28
chr11:113880000-113890000	chr11	113885000	113880000	113890000	MShef11	MShef4	92.63220068098116	88.37738321185242	4.254817469128739	8.389769250464083	0.0003941116364879335	0.27225417082022035	0.5650254583110966	Not significant	35
chr12:43580000-43590000	chr12	43585000	43580000	43590000	MShef11	MShef4	92.61907590563031	87.72851970260228	4.8905562030280265	9.276211340431871	0.00024481609033307064	0.27225417082022035	0.5650254583110966	Not significant	29
chr12:94550000-94560000	chr12	94555000	94550000	94560000	MShef11	MShef4	78.729186118892	87.89336668096307	-9.164180562071067	-9.056312712370312	0.0002744244732645714	0.27225417082022035	0.5650254583110966	Not significant	21
chr13:54620000-54630000	chr13	54625000	54620000	54630000	MShef11	MShef4	95.28118715761737	85.23783524904215	10.043351908575218	8.695479470486433	0.00033280070466005986	0.27225417082022035	0.5650254583110966	Not significant	22
chr14:63830000-63840000	chr14	63835000	63830000	63840000	MShef11	MShef4	94.71870721870722	82.20793657259905	12.51077064610817	8.527321150255904	0.0003649957517903845	0.27225417082022035	0.5650254583110966	Not significant	39
chr17:57850000-57860000	chr17	57855000	57850000	57860000	MShef11	MShef4	82.35185866764813	60.83841473855304	21.51344392909509	11.179701999576364	0.00009991388398469297	0.27225417082022035	0.5650254583110966	Not significant	26
chr17:70250000-70260000	chr17	70255000	70250000	70260000	MShef11	MShef4	95.64989517819707	87.56103445165945	8.088860726537618	8.566682202323577	0.0003571395041685246	0.27225417082022035	0.5650254583110966	Not significant	24
chr18:38030000-38040000	chr18	38035000	38030000	38040000	MShef11	MShef4	95.05993438218502	87.83755298503652	7.222381397148496	8.341283916737334	0.0004050269093855638	0.27225417082022035	0.5650254583110966	Not significant	23
chr19:51030000-51040000	chr19	51035000	51030000	51040000	MShef11	MShef4	93.03403179096067	84.6046811370399	8.429350653920764	10.00536122480247	0.0001705087369404598	0.27225417082022035	0.5650254583110966	Not significant	30
