peak_id	target	caller	chr	start	end	width	num_peaks	num_samples	support	total_signal	max_signal	h3k27me3_R1	h3k27me3_R2	h3k4me3_R1	h3k4me3_R2
h3k27me3:chr1:175742-175882	h3k27me3	seacr	chr1	175742	175882	140	1	1	1	14581.0	111.732	1	0	0	0
h3k27me3:chr1:590956-591717	h3k27me3	seacr	chr1	590956	591717	761	2	2	2	126653.2	279.33	1	1	0	0
h3k27me3:chr1:622787-623793	h3k27me3	seacr	chr1	622787	623793	1006	1	1	1	79217.9	223.464	1	0	0	0
h3k27me3:chr1:628646-634504	h3k27me3	seacr	chr1	628646	634504	5858	2	2	2	1806530.2000000002	1117.32	1	1	0	0
h3k27me3:chr1:637818-638209	h3k27me3	seacr	chr1	637818	638209	391	1	1	1	32234.7	111.732	1	0	0	0
h3k27me3:chr1:640265-640697	h3k27me3	seacr	chr1	640265	640697	432	1	1	1	16174.1	79.1557	0	1	0	0
h3k27me3:chr1:834655-835146	h3k27me3	seacr	chr1	834655	835146	491	1	1	1	16253.3	52.7704	0	1	0	0
h3k27me3:chr1:862565-863420	h3k27me3	seacr	chr1	862565	863420	855	1	1	1	57262.6	111.732	1	0	0	0
h3k27me3:chr1:863605-866099	h3k27me3	seacr	chr1	863605	866099	2494	2	2	2	445978.7	446.927	1	1	0	0
h3k27me3:chr1:866113-866479	h3k27me3	seacr	chr1	866113	866479	366	1	1	1	22569.8	111.732	1	0	0	0
h3k27me3:chr1:869647-870159	h3k27me3	seacr	chr1	869647	870159	512	1	1	1	13535.6	52.7704	0	1	0	0
h3k27me3:chr1:873078-875008	h3k27me3	seacr	chr1	873078	875008	1930	2	2	2	125635.2	167.598	1	1	0	0
h3k27me3:chr1:878145-878591	h3k27me3	seacr	chr1	878145	878591	446	1	1	1	20580.5	52.7704	0	1	0	0
h3k27me3:chr1:880468-880833	h3k27me3	seacr	chr1	880468	880833	365	1	1	1	44972.1	167.598	1	0	0	0
h3k27me3:chr1:882762-883445	h3k27me3	seacr	chr1	882762	883445	683	2	2	2	134691.1	223.464	1	1	0	0
h3k27me3:chr1:885853-887156	h3k27me3	seacr	chr1	885853	887156	1303	2	2	2	238506.5	223.464	1	1	0	0
h3k27me3:chr1:888528-890472	h3k27me3	seacr	chr1	888528	890472	1944	2	2	2	418452.6	391.061	1	1	0	0
h3k27me3:chr1:890560-891013	h3k27me3	seacr	chr1	890560	891013	453	2	2	2	88684.6	279.33	1	1	0	0
h3k27me3:chr1:891845-892421	h3k27me3	seacr	chr1	891845	892421	576	2	2	2	56569.5	167.598	1	1	0	0
h3k27me3:chr1:894569-896032	h3k27me3	seacr	chr1	894569	896032	1463	2	2	2	247878.9	335.196	1	1	0	0
h3k4me3:chr1:137571-139927	h3k4me3	seacr	chr1	137571	139927	2356	1	1	1	26907.5	29.2569	0	0	0	1
h3k4me3:chr1:777130-780131	h3k4me3	seacr	chr1	777130	780131	3001	2	2	2	1228964.2	1858.74	0	0	1	1
h3k4me3:chr1:825599-828937	h3k4me3	seacr	chr1	825599	828937	3338	1	1	1	75354.0	81.9193	0	0	0	1
h3k4me3:chr1:957128-962070	h3k4me3	seacr	chr1	957128	962070	4942	2	2	2	2579230.3	2527.88	0	0	1	1
h3k4me3:chr1:998383-1002259	h3k4me3	seacr	chr1	998383	1002259	3876	1	1	1	52469.3	32.1826	0	0	0	1
h3k4me3:chr1:1019063-1022153	h3k4me3	seacr	chr1	1019063	1022153	3090	1	1	1	64529.0	61.4394	0	0	0	1
h3k4me3:chr1:1115211-1116903	h3k4me3	seacr	chr1	1115211	1116903	1692	1	1	1	41691.1	73.1422	0	0	0	1
h3k4me3:chr1:1230201-1233257	h3k4me3	seacr	chr1	1230201	1233257	3056	2	2	2	2157405.0	3717.47	0	0	1	1
h3k4me3:chr1:1271778-1275764	h3k4me3	seacr	chr1	1271778	1275764	3986	2	2	2	3015286.0	3345.72	0	0	1	1
h3k4me3:chr1:1305020-1310749	h3k4me3	seacr	chr1	1305020	1310749	5729	2	2	2	2781315.0	2267.66	0	0	1	1
h3k4me3:chr1:1323673-1326301	h3k4me3	seacr	chr1	1323673	1326301	2628	2	2	2	2444141.0	2936.8	0	0	1	1
h3k4me3:chr1:1347010-1350010	h3k4me3	seacr	chr1	1347010	1350010	3000	2	2	2	5501886.0	4758.36	0	0	1	1
h3k4me3:chr1:1372772-1376818	h3k4me3	seacr	chr1	1372772	1376818	4046	2	2	2	3020451.0	3531.6	0	0	1	1
h3k4me3:chr1:1397369-1401725	h3k4me3	seacr	chr1	1397369	1401725	4356	2	2	2	5225265.0	3420.07	0	0	1	1
h3k4me3:chr1:1405327-1408434	h3k4me3	seacr	chr1	1405327	1408434	3107	2	2	2	5847394.0	5873.61	0	0	1	1
h3k4me3:chr1:1657622-1659902	h3k4me3	seacr	chr1	1657622	1659902	2280	1	1	1	35830.9	40.9596	0	0	0	1
h3k4me3:chr1:1692201-1693524	h3k4me3	seacr	chr1	1692201	1693524	1323	1	1	1	41135.2	96.5477	0	0	0	1
h3k4me3:chr1:1745216-1746738	h3k4me3	seacr	chr1	1745216	1746738	1522	1	1	1	23753.7	46.811	0	0	0	1
h3k4me3:chr1:1908137-1909485	h3k4me3	seacr	chr1	1908137	1909485	1348	1	1	1	19207.1	35.1082	0	0	0	1
h3k4me3:chr1:2193306-2195545	h3k4me3	seacr	chr1	2193306	2195545	2239	1	1	1	45433.0	52.6624	0	0	0	1
