gene_name	NA12878_200M / deepvariant	NA12878_200M / freebayes	NA12878_200M / haplotypecaller	NA12878_200M / manta	NA12878_200M / strelka	NA12878_75M / deepvariant	NA12878_75M / freebayes	NA12878_75M / haplotypecaller	NA12878_75M / manta	NA12878_75M / strelka
AC099489.1	51.0	50.0	50.0	0.0	50.0	50.0	50.0	50.0	0.0	50.0
AC118281.1	23.0	16.0	7.0	0.0	21.0	19.0	14.0	4.0	0.0	21.0
AHNAK2	81.0	68.0	70.0	0.0	83.0	77.0	65.0	69.0	1.0	77.0
ALPK2	24.0	24.0	24.0	0.0	24.0	24.0	24.0	24.0	0.0	24.0
ANKRD36C	52.0	34.0	48.0	0.0	40.0	53.0	28.0	46.0	0.0	40.0
C1orf167	41.0	38.0	38.0	0.0	38.0	43.0	37.0	38.0	0.0	38.0
CCDC168	20.0	19.0	19.0	0.0	19.0	19.0	19.0	19.0	0.0	19.0
FAT1	20.0	18.0	19.0	0.0	19.0	19.0	18.0	19.0	0.0	19.0
FCGBP	121.0	63.0	92.0	0.0	102.0	106.0	54.0	85.0	0.0	66.0
FLG	63.0	52.0	61.0	0.0	51.0	59.0	52.0	62.0	0.0	53.0
FRG2C	67.0	36.0	85.0	0.0	37.0	67.0	35.0	51.0	0.0	54.0
FSIP2	26.0	25.0	25.0	0.0	25.0	27.0	25.0	25.0	0.0	27.0
GOLGA6L2	64.0	22.0	16.0	0.0	26.0	47.0	25.0	13.0	0.0	20.0
GPRIN2	25.0	25.0	25.0	0.0	25.0	25.0	25.0	25.0	0.0	25.0
HLA-B	35.0	18.0	35.0	0.0	27.0	33.0	15.0	31.0	0.0	23.0
