contrast	event_id	event_type	gene_id	chrom	strand	start	end	dpsi	abs_dpsi	pvalue	neg_log10_pvalue	significant	direction
GS689-PC3E	ENSG00000001497;SE:X:64752510-64753490:64753615-64754360:-	Skipped exon	ENSG00000001497	X	-	64752510	64754360	0.27760590820000003	0.27760590820000003	0.0	300.0	true	up
GS689-PC3E	ENSG00000004866_and_ENSG00000214188;SE:7:116772014-116774178:116774246-116776135:+	Skipped exon	ENSG00000004866_and_ENSG00000214188	7	+	116772014	116776135	0.2549669431	0.2549669431	0.0	300.0	true	up
GS689-PC3E	ENSG00000005486;SE:7:75508578-75510683:75510804-75511147:+	Skipped exon	ENSG00000005486	7	+	75508578	75511147	0.1616187282	0.1616187282	0.0	300.0	true	up
GS689-PC3E	ENSG00000007168_and_ENSG00000239024_and_ENSG00000239884;AF:17:2496504:2496624-2541393:2497040:2497300-2541393:+	Alternative first exon	ENSG00000007168_and_ENSG00000239024_and_ENSG00000239884	17	+	2496504	2541393	-0.2885088856	0.2885088856	0.0	300.0	true	down
GS689-PC3E	ENSG00000102103;A5:X:48755365-48755775:48755297-48755775:+	Alternative 5' splice site	ENSG00000102103	X	+	48755297	48755775	-0.09726690880000001	0.09726690880000001	0.0	300.0	false	not significant
GS689-PC3E	ENSG00000133030_and_ENSG00000206859_and_ENSG00000243370;SE:17:17083402-17083921:17083983-17088137:+	Skipped exon	ENSG00000133030_and_ENSG00000206859_and_ENSG00000243370	17	+	17083402	17088137	0.0845545082	0.0845545082	0.0	300.0	false	not significant
GS689-PC3E	ENSG00000161016;AF:8:146016880-146017158:146017344:146016880-146017751:146017775:-	Alternative first exon	ENSG00000161016	8	-	146016880	146017775	-0.0815704431	0.0815704431	0.0	300.0	false	not significant
GS689-PC3E	ENSG00000161956_and_ENSG00000265500_and_ENSG00000161960_and_ENSG00000264772_and_ENSG00000209582_and_ENSG00000238917_and_ENSG00000129226;A3:17:7481234-7481483:7481234-7481545:+	Alternative 3' splice site	ENSG00000161956_and_ENSG00000265500_and_ENSG00000161960_and_ENSG00000264772_and_ENSG00000209582_and_ENSG00000238917_and_ENSG00000129226	17	+	7481234	7481545	0.0664447942	0.0664447942	0.0	300.0	false	not significant
PC3E-GS689	ENSG00000001497;SE:X:64752510-64753490:64753615-64754360:-	Skipped exon	ENSG00000001497	X	-	64752510	64754360	-0.27760590820000003	0.27760590820000003	0.0	300.0	true	down
PC3E-GS689	ENSG00000004866_and_ENSG00000214188;SE:7:116772014-116774178:116774246-116776135:+	Skipped exon	ENSG00000004866_and_ENSG00000214188	7	+	116772014	116776135	-0.2549669431	0.2549669431	0.0	300.0	true	down
PC3E-GS689	ENSG00000005486;SE:7:75508578-75510683:75510804-75511147:+	Skipped exon	ENSG00000005486	7	+	75508578	75511147	-0.1616187282	0.1616187282	0.0	300.0	true	down
PC3E-GS689	ENSG00000007168_and_ENSG00000239024_and_ENSG00000239884;AF:17:2496504:2496624-2541393:2497040:2497300-2541393:+	Alternative first exon	ENSG00000007168_and_ENSG00000239024_and_ENSG00000239884	17	+	2496504	2541393	0.2885088856	0.2885088856	0.0	300.0	true	up
PC3E-GS689	ENSG00000102103;A5:X:48755365-48755775:48755297-48755775:+	Alternative 5' splice site	ENSG00000102103	X	+	48755297	48755775	0.09726690880000001	0.09726690880000001	0.0	300.0	false	not significant
PC3E-GS689	ENSG00000133030_and_ENSG00000206859_and_ENSG00000243370;SE:17:17083402-17083921:17083983-17088137:+	Skipped exon	ENSG00000133030_and_ENSG00000206859_and_ENSG00000243370	17	+	17083402	17088137	-0.0845545082	0.0845545082	0.0	300.0	false	not significant
PC3E-GS689	ENSG00000161016;AF:8:146016880-146017158:146017344:146016880-146017751:146017775:-	Alternative first exon	ENSG00000161016	8	-	146016880	146017775	0.0815704431	0.0815704431	0.0	300.0	false	not significant
PC3E-GS689	ENSG00000161956_and_ENSG00000265500_and_ENSG00000161960_and_ENSG00000264772_and_ENSG00000209582_and_ENSG00000238917_and_ENSG00000129226;A3:17:7481234-7481483:7481234-7481545:+	Alternative 3' splice site	ENSG00000161956_and_ENSG00000265500_and_ENSG00000161960_and_ENSG00000264772_and_ENSG00000209582_and_ENSG00000238917_and_ENSG00000129226	17	+	7481234	7481545	-0.0664447942	0.0664447942	0.0	300.0	false	not significant
