sample	target	peak_id	peak_rank	chr	summit	offset_bp	bin_start	bin_end	fragments	cpm
h3k27me3_R1	h3k27me3	h3k27me3_R1:chr9:130899101-130943151	1	chr9	130917759	-300	130917400	130917500	176	76.61967906802609
h3k27me3_R1	h3k27me3	h3k27me3_R1:chr9:130899101-130943151	1	chr9	130917759	-200	130917500	130917600	246	107.093415060991
h3k27me3_R1	h3k27me3	h3k27me3_R1:chr9:130899101-130943151	1	chr9	130917759	-100	130917600	130917700	208	90.55052980766719
h3k27me3_R1	h3k27me3	h3k27me3_R1:chr9:130899101-130943151	1	chr9	130917759	0	130917700	130917800	264	114.92951860203912
h3k27me3_R1	h3k27me3	h3k27me3_R1:chr9:130899101-130943151	1	chr9	130917759	100	130917800	130917900	233	101.43400694801181
h3k27me3_R2	h3k27me3	h3k27me3_R2:chr9:130909830-130945111	1	chr9	130924409	-300	130924100	130924200	48	23.283993903474265
h3k27me3_R2	h3k27me3	h3k27me3_R2:chr9:130909830-130945111	1	chr9	130924409	-200	130924200	130924300	46	22.313827490829503
h3k27me3_R2	h3k27me3	h3k27me3_R2:chr9:130909830-130945111	1	chr9	130924409	-100	130924300	130924400	57	27.649742760375688
h3k27me3_R2	h3k27me3	h3k27me3_R2:chr9:130909830-130945111	1	chr9	130924409	0	130924400	130924500	58	28.13482596669807
h3k27me3_R2	h3k27me3	h3k27me3_R2:chr9:130909830-130945111	1	chr9	130924409	100	130924500	130924600	65	31.530408410954735
h3k4me3_R1	h3k4me3	h3k4me3_R1:chr9:131272706-131278837	1	chr9	131275853	-300	131275500	131275600	453	352.36301012907535
h3k4me3_R1	h3k4me3	h3k4me3_R1:chr9:131272706-131278837	1	chr9	131275853	-200	131275600	131275700	476	370.25340578684296
h3k4me3_R1	h3k4me3	h3k4me3_R1:chr9:131272706-131278837	1	chr9	131275853	-100	131275700	131275800	501	389.6994880235469
h3k4me3_R1	h3k4me3	h3k4me3_R1:chr9:131272706-131278837	1	chr9	131275853	0	131275800	131275900	515	400.58929407610105
h3k4me3_R1	h3k4me3	h3k4me3_R1:chr9:131272706-131278837	1	chr9	131275853	100	131275900	131276000	434	337.58398762918034
h3k4me3_R2	h3k4me3	h3k4me3_R2:chr9:131272225-131280117	1	chr9	131275454	-300	131275100	131275200	161	114.42647814489804
