sample	resolution	chrom1	start1	end1	chrom2	start2	end2	count
HIC_ES_4	500000	chr1	0	500000	chr1	0	500000	0.469721
HIC_ES_4	500000	chr1	0	500000	chr1	3500000	4000000	0.0001146
HIC_ES_4	500000	chr1	0	500000	chr1	4000000	4500000	0.0000518756
HIC_ES_4	500000	chr1	0	500000	chr1	4500000	5000000	0.000175767
HIC_ES_4	500000	chr1	0	500000	chr1	5000000	5500000	0.0000685111
HIC_ES_4	500000	chr1	0	500000	chr1	6000000	6500000	0.0000490875
HIC_ES_4	500000	chr1	0	500000	chr1	6500000	7000000	0.000124547
HIC_ES_4	500000	chr1	0	500000	chr1	7000000	7500000	0.0000444619
HIC_ES_4	500000	chr1	0	500000	chr1	7500000	8000000	0.000176057
HIC_ES_4	500000	chr1	0	500000	chr1	10000000	10500000	0.000108949
HIC_ES_4	500000	chr1	0	500000	chr1	10500000	11000000	0.0000409594
HIC_ES_4	500000	chr1	0	500000	chr1	11000000	11500000	0.000172754
HIC_ES_4	500000	chr1	0	500000	chr1	11500000	12000000	0.000041949
HIC_ES_4	500000	chr1	0	500000	chr1	12000000	12500000	0.0000508649
HIC_ES_4	500000	chr1	0	500000	chr1	13000000	13500000	0.000147915
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	4000000	5000000	0.685089
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	5000000	6000000	0.258639
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	6000000	7000000	0.0454312
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	7000000	8000000	0.0326369
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	8000000	9000000	0.0211786
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	9000000	10000000	0.018241
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	10000000	11000000	0.0124659
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	11000000	12000000	0.0115576
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	12000000	13000000	0.0106941
HIC_ES_4	1000000	chr1	4000000	5000000	chr1	13000000	14000000	0.00932893
