contig	sample	abricate	amrfinderplus	deeparg	fargene	rgi
ERZ1664501.1072-NODE-1072-length-1931-cov-2.670576	ERZ1664501	0	0	0	0	1
ERZ1664501.1210-NODE-1210-length-1845-cov-4.297765	ERZ1664501	0	1	1	0	0
ERZ1664501.12101-NODE-12101-length-651-cov-1.224832	ERZ1664501	0	1	0	0	0
ERZ1664501.12255-NODE-12255-length-647-cov-1.280405	ERZ1664501	0	0	0	0	1
ERZ1664501.1237-NODE-1237-length-1827-cov-7.309255	ERZ1664501	1	1	1	0	1
ERZ1664501.1443-NODE-1443-length-1711-cov-2.998188	ERZ1664501	0	0	1	0	0
ERZ1664501.1710-NODE-1710-length-1591-cov-4.684245	ERZ1664501	0	1	0	0	0
ERZ1664501.177-NODE-177-length-3684-cov-10.941857	ERZ1664501	1	1	1	0	1
ERZ1664501.20187-NODE-20187-length-513-cov-2.755459	ERZ1664501	0	1	0	0	0
ERZ1664501.203-NODE-203-length-3510-cov-4.483647	ERZ1664501	0	0	0	0	1
ERZ1664501.2476-NODE-2476-length-1357-cov-1.549923	ERZ1664501	0	0	1	0	0
ERZ1664501.2949-NODE-2949-length-1251-cov-2.491639	ERZ1664501	1	1	1	0	1
ERZ1664501.324-NODE-324-length-3058-cov-6.586747	ERZ1664501	1	1	1	0	0
ERZ1664501.3278-NODE-3278-length-1195-cov-2.320175	ERZ1664501	1	1	1	0	1
ERZ1664501.328-NODE-328-length-3057-cov-10.476016	ERZ1664501	1	1	1	0	1
ERZ1664501.3476-NODE-3476-length-1161-cov-4.301989	ERZ1664501	1	1	1	0	1
ERZ1664501.3824-NODE-3824-length-1109-cov-3.109108	ERZ1664501	0	0	0	0	1
ERZ1664501.4063-NODE-4063-length-1081-cov-1.365497	ERZ1664501	0	0	1	0	0
ERZ1664501.4260-NODE-4260-length-1059-cov-2.108566	ERZ1664501	1	1	1	0	0
ERZ1664501.49-NODE-49-length-5025-cov-3.569819	ERZ1664501	0	0	1	0	0
ERZ1664501.491-NODE-491-length-2669-cov-3.423871	ERZ1664501	1	1	0	0	1
ERZ1664501.55-NODE-55-length-4955-cov-4.603673	ERZ1664501	0	0	1	0	0
ERZ1664503.1003-NODE-1003-length-2012-cov-21.229433	ERZ1664503	1	1	1	0	1
ERZ1664503.10283-NODE-10283-length-712-cov-2.050228	ERZ1664503	1	1	1	0	0
ERZ1664503.1983-NODE-1983-length-1499-cov-3.705679	ERZ1664503	1	1	1	0	0
ERZ1664503.2636-NODE-2636-length-1318-cov-2.171021	ERZ1664503	1	1	1	0	0
ERZ1664503.306-NODE-306-length-3236-cov-7.752594	ERZ1664503	1	1	1	0	1
ERZ1664503.35-NODE-35-length-6589-cov-7.634680	ERZ1664503	1	1	1	0	1
ERZ1664503.3519-NODE-3519-length-1153-cov-2.648452	ERZ1664503	1	0	1	0	0
ERZ1664504.1023-NODE-1023-length-1903-cov-3.120671	ERZ1664504	1	1	0	0	1
ERZ1664504.2299-NODE-2299-length-1085-cov-2.493204	ERZ1664504	1	1	1	0	1
ERZ1664504.432-NODE-432-length-3192-cov-14.408989	ERZ1664504	1	1	1	0	1
ERZ1664504.4366-NODE-4366-length-721-cov-1.876877	ERZ1664504	1	1	1	0	0
ERZ1664504.499-NODE-499-length-2890-cov-3.541446	ERZ1664504	1	1	1	0	1
ERZ1664504.5314-NODE-5314-length-655-cov-0.920000	ERZ1664504	0	0	1	0	1
ERZ1664505.2156-NODE-2156-length-1198-cov-2.759405	ERZ1664505	0	0	1	0	1
ERZ1664505.290-NODE-290-length-2290-cov-3.178076	ERZ1664505	1	1	1	0	0
ERZ1664505.959-NODE-959-length-1580-cov-3.162623	ERZ1664505	0	1	0	0	1
ERZ1664506.120-NODE-120-length-7135-cov-6.203814	ERZ1664506	1	1	1	0	0
ERZ1664506.1886-NODE-1886-length-1037-cov-1.763747	ERZ1664506	0	1	0	0	1
