contig	feature_id	start	end	strand	gene_class	label	region_start	region_end
CTG1	CTG1_00005	1540	2379	-	flanking	00005	8440	31669
CTG1	CTG1_00010	2551	4320	-	flanking	00010	8440	31669
CTG1	CTG1_00015	4499	5647	-	flanking	00015	8440	31669
CTG1	CTG1_00020	5719	6450	-	flanking	00020	8440	31669
CTG1	CTG1_00025	6708	8408	-	flanking	00025	8440	31669
CTG1	CTG1_00030	8472	11243	-	NRPS	nrpsA	8440	31669
CTG1	CTG1_00035	11399	14836	-	NRPS	nrpsB	8440	31669
CTG1	CTG1_00040	15093	19562	-	NRPS	nrpsC	8440	31669
CTG1	CTG1_00045	19608	20567	-	NRPS	mbtH	8440	31669
CTG1	CTG1_00050	20768	22723	+	NRPS	cyp450	8440	31669
CTG1	CTG1_00055	22778	23638	+	NRPS	gcnA	8440	31669
CTG1	CTG1_00060	23685	25310	+	NRPS	abcT1	8440	31669
CTG1	CTG1_00065	25556	27601	+	NRPS	mfsT	8440	31669
CTG1	CTG1_00070	27653	29584	-	NRPS	luxR	8440	31669
CTG1	CTG1_00075	29767	30405	+	NRPS	abcT2	8440	31669
CTG1	CTG1_00080	30565	31551	+	NRPS	thioE	8440	31669
CTG1	CTG1_00085	31788	32447	+	flanking	00085	8440	31669
CTG1	CTG1_00090	32667	34241	+	flanking	00090	8440	31669
CTG1	CTG1_00095	34298	35002	+	flanking	00095	8440	31669
CTG1	CTG1_00100	35026	36138	+	flanking	00100	8440	31669
CTG1	CTG1_00105	36295	36954	+	flanking	00105	8440	31669
CTG1	CTG1_00110	37212	38669	+	flanking	00110	8440	31669
CTG1	CTG1_00115	38869	39696	-	flanking	00115	8440	31669
CTG2	CTG2_00005	686	2305	+	flanking	00005	9692	27991
CTG2	CTG2_00010	2525	2824	+	flanking	00010	9692	27991
CTG2	CTG2_00015	3062	4525	-	flanking	00015	9692	27991
CTG2	CTG2_00020	4782	5252	-	flanking	00020	9692	27991
CTG2	CTG2_00025	5364	6857	-	flanking	00025	9692	27991
CTG2	CTG2_00030	7076	7897	-	flanking	00030	9692	27991
CTG2	CTG2_00035	8036	8584	+	flanking	00035	9692	27991
CTG2	CTG2_00040	8842	9639	+	flanking	00040	9692	27991
CTG2	CTG2_00045	9746	12868	+	T1PKS	pksA	9692	27991
CTG2	CTG2_00050	12917	15841	+	T1PKS	pksB	9692	27991
CTG2	CTG2_00055	15889	20157	+	T1PKS	pksC	9692	27991
CTG2	CTG2_00060	20275	20955	+	T1PKS	cyp112	9692	27991
CTG2	CTG2_00065	21212	22372	-	T1PKS	tetR	9692	27991
CTG2	CTG2_00070	22429	23358	+	T1PKS	mfsY	9692	27991
CTG2	CTG2_00075	23609	24856	+	T1PKS	oxyB	9692	27991
CTG2	CTG2_00080	25019	25957	+	T1PKS	acpP	9692	27991
CTG2	CTG2_00085	26111	27979	+	T1PKS	glcD	9692	27991
CTG2	CTG2_00090	28003	28722	+	flanking	00090	9692	27991
CTG2	CTG2_00095	28851	30263	+	flanking	00095	9692	27991
CTG2	CTG2_00100	30472	30879	-	flanking	00100	9692	27991
CTG2	CTG2_00105	31063	32109	-	flanking	00105	9692	27991
CTG2	CTG2_00110	32369	32977	-	flanking	00110	9692	27991
CTG2	CTG2_00115	33028	34047	-	flanking	00115	9692	27991
CTG2	CTG2_00120	34307	35557	-	flanking	00120	9692	27991
CTG3	CTG3_00005	1129	1500	+	flanking	00005	5922	22180
CTG3	CTG3_00010	1521	1907	+	flanking	00010	5922	22180
CTG3	CTG3_00015	2041	3249	+	flanking	00015	5922	22180
CTG3	CTG3_00020	3506	4438	+	flanking	00020	5922	22180
CTG3	CTG3_00025	4546	5847	+	flanking	00025	5922	22180
CTG3	CTG3_00030	5998	9471	-	terpene	sqhC	5922	22180
CTG3	CTG3_00035	9726	13817	+	terpene	crtE	5922	22180
CTG3	CTG3_00040	13875	15155	-	terpene	crtI	5922	22180
CTG3	CTG3_00045	15328	16305	-	terpene	idi	5922	22180
CTG3	CTG3_00050	16349	17266	-	terpene	crtB	5922	22180
CTG3	CTG3_00055	17350	18150	-	terpene	ispA	5922	22180
