sample	resolution	chrom	start	end	region	is_bad_bin	window	log2_insulation_score	n_valid_pixels	boundary_strength	is_boundary
HIC_ES_4	20000	chr1	3000000	3020000	chr1	false	300000	1.3152030755947677	12.0		false
HIC_ES_4	20000	chr1	3000000	3020000	chr1	false	500000	1.7676342826225966	22.0		false
HIC_ES_4	40000	chr1	3000000	3040000	chr1	false	600000	1.7056847982839523	13.0		false
HIC_ES_4	20000	chr1	3000000	3020000	chr1	false	1000000	2.3762756012448216	47.0		false
HIC_ES_4	40000	chr1	3000000	3040000	chr1	false	1000000	2.155655116252144	23.0		false
HIC_ES_4	40000	chr1	3000000	3040000	chr1	false	2000000	2.7734948479666035	48.0		false
HIC_ES_4	20000	chr1	3020000	3040000	chr1	false	300000	1.390963467850426	25.0		false
HIC_ES_4	20000	chr1	3020000	3040000	chr1	false	500000	1.7385422060207971	45.0		false
HIC_ES_4	20000	chr1	3020000	3040000	chr1	false	1000000	2.294422995945336	95.0		false
HIC_ES_4	20000	chr1	3040000	3060000	chr1	false	300000	1.2900058160527688	39.0		false
HIC_ES_4	20000	chr1	3040000	3060000	chr1	false	500000	1.6203487608370355	69.0		false
HIC_ES_4	40000	chr1	3040000	3080000	chr1	false	600000	1.54435863408334	27.0		false
HIC_ES_4	20000	chr1	3040000	3060000	chr1	false	1000000	2.1862541149096093	144.0		false
HIC_ES_4	40000	chr1	3040000	3080000	chr1	false	1000000	2.0175320096486593	47.0		false
HIC_ES_4	40000	chr1	3040000	3080000	chr1	false	2000000	2.6175079326950237	97.0		false
