sample	peak_id	chr	start	end	width	summit	score	fold_enrichment	neg_log10_pvalue	neg_log10_qvalue
EZH2_IP_NTKO_R1	EZH2_IP_NTKO_R1_peak_1	chr1	805178	805388	210	805314	119	5.57548	15.4009	11.95
EZH2_IP_NTKO_R1	EZH2_IP_NTKO_R1_peak_6641	chr16	85451728	85452984	1256	85451919	107	5.51999	14.1114	10.7092
EZH2_IP_NTKO_R1	EZH2_IP_NTKO_R1_peak_13282	chr20	62732676	62735044	2368	62733547	695	14.8164	74.5855	69.5606
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_402	chr1	1955669	1956163	494	1956095	94	4.09008	12.1663	9.45047
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_7043	chr1	147064898	147065024	126	147064959	89	2.48324	11.6859	8.99179
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_13684	chr11	64393152	64393320	168	64393207	61	3.28307	8.72968	6.18853
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_20324	chr16	1107320	1107749	429	1107615	421	6.62048	45.9214	42.1939
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_26965	chr17	72370453	72370674	221	72370571	52	2.79724	7.70834	5.23197
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_33606	chr19	41883389	41883535	146	41883434	39	2.70071	6.34273	3.9716
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_40246	chr20	59989045	59989379	334	59989284	59	3.19326	8.42327	5.90225
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_46887	chr3	142839230	142839534	304	142839402	76	2.67496	10.2294	7.60549
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_53528	chr6	49886493	49886639	146	49886595	49	3.53732	7.41958	4.96256
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_60168	chr8	143207910	143208132	222	143208023	145	5.47461	17.4372	14.5123
EZH2_IP_TKO_R1	EZH2_IP_TKO_R1_peak_805	chr1	21913241	21913339	98	21913291	49	4.7227	8.87786	4.92379
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_587	chr1	2422787	2423782	995	2423689	108	3.59359	14.1682	10.8734
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_7228	chr1	220702628	220702799	171	220702704	121	2.99488	15.53	12.1663
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_13869	chr12	68495726	68495845	119	68495749	32	2.5426	5.78352	3.24226
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_20509	chr17	47116	48557	1441	48231	274	5.42705	31.4095	27.4229
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_27150	chr19	45990888	45991029	141	45990973	155	4.35141	19.1251	15.5937
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_33791	chr21	32583400	32583527	127	32583509	36	2.83353	6.27657	3.65148
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_40431	chr4	181373883	181374004	121	181373958	81	3.3748	11.2971	8.17607
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_47072	chr7	117427300	117427425	125	117427395	67	2.90968	9.80067	6.78806
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_53713	chr9	139519552	139520245	693	139519685	132	3.88694	16.6191	13.2017
FOXA1_IP_E2_R1	FOXA1_IP_E2_R1_peak_5612	chr12	113177592	113177728	136	113177679	63	6.58333	9.62006	6.3949
FOXA1_IP_E2_R1	FOXA1_IP_E2_R1_peak_12253	chr2	164634906	164635091	185	164635022	88	7.91348	12.2541	8.87022
FOXA1_IP_E2_R1	FOXA1_IP_E2_R1_peak_18894	chr5	171960410	171960575	165	171960466	127	9.5534	16.3294	12.7422
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_906	chr1	77447056	77447264	208	77447161	224	12.8224	26.1471	22.4155
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_7547	chr12	107879230	107879395	165	107879324	91	7.67116	12.4437	9.18434
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_14187	chr19	57587562	57587742	180	57587672	66	6.55504	9.7263	6.60323
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_20828	chr3	162304423	162304686	263	162304551	425	17.7351	46.7771	42.5818
FOXA1_IP_E2_R2	FOXA1_IP_E2_R2_peak_27469	chr7	7232724	7232843	119	7232787	49	5.72969	7.9745	4.9616
FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R1_peak_645	chr1	74992587	74992954	367	74992653	28	4.37702	5.75682	2.83543
FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R1_peak_7286	chr14	68936126	68936438	312	68936300	554	26.0075	60.2782	55.4681
FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R1_peak_13927	chr21	24764621	24764766	145	24764629	35	4.81839	6.61099	3.5723
FOXA1_IP_VEH_R1	FOXA1_IP_VEH_R1_peak_20567	chr6	88161613	88161768	155	88161687	47	5.5799	7.88349	4.72973
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_1286	chr1	120336643	120336819	176	120336741	74	6.58728	10.6776	7.46615
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_7927	chr14	72962458	72962701	243	72962578	360	18.106	40.0841	36.0194
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_14567	chr20	3613343	3613476	133	3613363	77	7.27218	10.9661	7.73921
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_21208	chr5	172521180	172521397	217	172521285	79	7.13267	11.2279	7.99271
FOXA1_IP_VEH_R2	FOXA1_IP_VEH_R2_peak_27849	chrY	59019770	59019943	173	59019861	206	11.4163	24.3745	20.675
