sample	resolution	chrom	distance	contact_probability	log10_slope	observed	n_possible
HIC_ES_4	500000	all	500000	0.1229974776327881		669.2292758	5441
HIC_ES_4	500000	all	1000000	0.042515284212177124	-1.5325752424645718	230.43284043	5420
HIC_ES_4	500000	all	1500000	0.02281656723652528	-1.5349698952740976	123.18664651	5399
HIC_ES_4	500000	all	2000000	0.0146311728542209	-1.5445262956882344	78.68644761	5378
HIC_ES_4	500000	all	2500000	0.010587878067948479	-1.449491188200115	56.71926281	5357
HIC_ES_4	500000	all	3000000	0.008247365993253373	-1.3701939409018704	44.00794494	5336
HIC_ES_4	500000	all	3741657	0.006294535841766424	-1.223141881250695	66.7787307453	10609
HIC_ES_4	500000	all	4500000	0.005109817601080978	-1.1298809927041145	26.9440682105	5273
HIC_ES_4	500000	all	5000000	0.004593182316089108	-1.0116750996864716	24.1233935241	5252
HIC_ES_4	500000	all	5744563	0.003979253424710276	-1.033590878942121	41.547385007399996	10441
HIC_ES_4	500000	all	6745369	0.0034723170462392585	-0.8485063235803083	35.9627876479	10357
HIC_ES_4	500000	all	7984360	0.0030705163892638834	-0.7292741402389316	47.2184010341	15378
HIC_ES_4	500000	chr19	500000	0.1313762426229508		16.0279016	122
HIC_ES_4	500000	chr19	1000000	0.040682503966942146	-1.6912240265310143	4.92258298	121
HIC_ES_4	500000	chr19	1500000	0.021451084583333335	-1.5784907303796238	2.5741301500000002	120
HIC_ES_4	500000	chr19	2000000	0.013585053277310924	-1.5878815071190653	1.61662134	119
HIC_ES_4	500000	chr19	2500000	0.009872073220338983	-1.4307394439968875	1.16490464	118
HIC_ES_4	500000	chr19	3000000	0.007812380256410257	-1.2834477746673443	0.91404849	117
