transcript_id	gene_id	gene_name	chrom	start	end	feature	strand	transcript_class	sample	expression
DPX1-201	DPXG00000001	DPX1	chr7	1000000	1000420	exon	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1003200	1003560	exon	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1008100	1008290	exon	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1012400	1012760	exon	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1018000	1019150	exon	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1000310	1000420	CDS	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1003200	1003560	CDS	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1008100	1008290	CDS	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1012400	1012760	CDS	+	known	A549_rep1	142.3
DPX1-201	DPXG00000001	DPX1	chr7	1018000	1018240	CDS	+	known	A549_rep1	142.3
DPX1-202	DPXG00000001	DPX1	chr7	1000000	1000420	exon	+	known	A549_rep1	88.1
DPX1-202	DPXG00000001	DPX1	chr7	1003200	1003560	exon	+	known	A549_rep1	88.1
DPX1-202	DPXG00000001	DPX1	chr7	1012400	1012760	exon	+	known	A549_rep1	88.1
DPX1-202	DPXG00000001	DPX1	chr7	1018000	1019150	exon	+	known	A549_rep1	88.1
DPX1-202	DPXG00000001	DPX1	chr7	1000310	1000420	CDS	+	known	A549_rep1	88.1
DPX1-202	DPXG00000001	DPX1	chr7	1003200	1003560	CDS	+	known	A549_rep1	88.1
DPX1-202	DPXG00000001	DPX1	chr7	1012400	1012760	CDS	+	known	A549_rep1	88.1
DPX1-202	DPXG00000001	DPX1	chr7	1018000	1018190	CDS	+	known	A549_rep1	88.1
DPX1-203	DPXG00000001	DPX1	chr7	1001500	1001840	exon	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1003200	1003560	exon	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1008100	1008290	exon	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1012400	1012760	exon	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1018000	1019150	exon	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1001620	1001840	CDS	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1003200	1003560	CDS	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1008100	1008290	CDS	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1012400	1012760	CDS	+	known	A549_rep1	31.5
DPX1-203	DPXG00000001	DPX1	chr7	1018000	1018240	CDS	+	known	A549_rep1	31.5
DPX1-204	DPXG00000001	DPX1	chr7	1000000	1000420	exon	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1003200	1003560	exon	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1008100	1008290	exon	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1012400	1012760	exon	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1018000	1018520	exon	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1000310	1000420	CDS	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1003200	1003560	CDS	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1008100	1008290	CDS	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1012400	1012760	CDS	+	NIC	A549_rep1	12.4
DPX1-204	DPXG00000001	DPX1	chr7	1018000	1018300	CDS	+	NIC	A549_rep1	12.4
DPX1-205	DPXG00000001	DPX1	chr7	1000000	1000420	exon	+	NNC	A549_rep1	5.9
DPX1-205	DPXG00000001	DPX1	chr7	1003200	1008290	exon	+	NNC	A549_rep1	5.9
DPX1-205	DPXG00000001	DPX1	chr7	1012400	1012760	exon	+	NNC	A549_rep1	5.9
DPX1-205	DPXG00000001	DPX1	chr7	1018000	1019150	exon	+	NNC	A549_rep1	5.9
DPX1-205	DPXG00000001	DPX1	chr7	1000310	1000420	CDS	+	NNC	A549_rep1	5.9
DPX1-205	DPXG00000001	DPX1	chr7	1003200	1004010	CDS	+	NNC	A549_rep1	5.9
BambuTx1	DPXG00000001	DPX1	chr7	999100	999380	exon	+	novel	A549_rep1	27.8
BambuTx1	DPXG00000001	DPX1	chr7	1003200	1003560	exon	+	novel	A549_rep1	27.8
BambuTx1	DPXG00000001	DPX1	chr7	1008100	1008290	exon	+	novel	A549_rep1	27.8
BambuTx1	DPXG00000001	DPX1	chr7	1012400	1012760	exon	+	novel	A549_rep1	27.8
BambuTx1	DPXG00000001	DPX1	chr7	1018000	1019150	exon	+	novel	A549_rep1	27.8
DPX2-201	DPXG00000002	DPX2	chr7	1130000	1131300	exon	-	known	A549_rep1	64.2
DPX2-201	DPXG00000002	DPX2	chr7	1136200	1136540	exon	-	known	A549_rep1	64.2
DPX2-201	DPXG00000002	DPX2	chr7	1140600	1142000	exon	-	known	A549_rep1	64.2
DPX2-201	DPXG00000002	DPX2	chr7	1130900	1131300	CDS	-	known	A549_rep1	64.2
DPX2-201	DPXG00000002	DPX2	chr7	1136200	1136540	CDS	-	known	A549_rep1	64.2
DPX2-201	DPXG00000002	DPX2	chr7	1140600	1141700	CDS	-	known	A549_rep1	64.2
