sample	contig	tool	product_class	probability	complete	start	end	length	cds_count	n_pfam	pfam_domains	mibig_id	regions
ERZ1664501	ERZ1664501.1785-NODE-1785-length-1564-cov-1.431412	antiSMASH	NRPS-like		No	1	1564	1564	1	3	AMP-binding;FAAL_cd05931;PP-binding		1
ERZ1664501	ERZ1664501.2146-NODE-2146-length-1444-cov-1.557955	antiSMASH	Ranthipeptide		No	1	1444	1444	2	6	Ranthipeptide_rSAM_RRE;PTHR43273;Fer4_12;PF04055;TIGR04085;SPASM		1
ERZ1664503	ERZ1664503.1225-NODE-1225-length-1856-cov-1.716269	antiSMASH	NRPS-like		No	1	1856	1856	1	5	AMP-binding;FAAL_cd05931;PP-binding;Polysacc_synt_2;NAD_binding_4		1
ERZ1664503	ERZ1664503.1478-NODE-1478-length-1719-cov-25.434495	antiSMASH	Lassopeptide		No	1	1719	1719	2	1	micJ25		1
ERZ1664503	ERZ1664503.33-NODE-33-length-6608-cov-5.631467	antiSMASH	Terpene		No	1	6608	6608	8	2	PT_phytoene_like;phytoene_synt		1
ERZ1664503	ERZ1664503.49-NODE-49-length-6042-cov-5.094204	antiSMASH	Terpene		No	1	6042	6042	4	1	PT_phytoene_like		1
ERZ1664503	ERZ1664503.828-NODE-828-length-2183-cov-3.795583	antiSMASH	NRPS		No	1	2183	2183	1	3	Condensation;FAAL_cd05931;AMP-binding		1
ERZ1664504	ERZ1664504.220-NODE-220-length-4587-cov-2.552957	GECCO	Unknown	0.8253509887119541	unknown	2	4586	4584	6	17	PF00005;PF00664;PF00891;PF01209;PF01209;PF04072;PF05175;PF08241;PF08241;PF08242;PF08242;PF13489;PF13489;PF13649;PF13649;PF13847;PF13847		1
ERZ1664504	ERZ1664504.2437-NODE-2437-length-1036-cov-1.217125	antiSMASH	Thioamitides		No	1	1036	1036	2	2	YcaO;TfuA		1
ERZ1664504	ERZ1664504.48-NODE-48-length-9582-cov-5.239425	GECCO	Polyketide	0.8446027915662132	unknown	1	2860	2859	5	7	PF00108;PF00109;PF00109;PF00550;PF00892;PF02801;PF13723		1
