chrom	start	end	region	coverage	sample	aggregation_time
MN908947.3	30	410	nCoV-2019_1	2029	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	320	726	nCoV-2019_2	4665	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	642	1028	nCoV-2019_3	3634	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	943	1337	nCoV-2019_4	2945	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	1242	1651	nCoV-2019_5	2448	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	1573	1964	nCoV-2019_6	2592	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	1868	2269	nCoV-2019_7	3306	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	2181	2592	nCoV-2019_8	3936	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	2504	2904	nCoV-2019_9	4392	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	2826	3210	nCoV-2019_10	6296	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	3144	3531	nCoV-2019_11	4344	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	3460	3853	nCoV-2019_12	2308	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	3771	4164	nCoV-2019_13	4695	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	4044	4450	nCoV-2019_14	8178	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	4294	4696	nCoV-2019_15	6422	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	4636	5017	nCoV-2019_16	4171	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	4939	5321	nCoV-2019_17	193	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	5230	5644	nCoV-2019_18	7215	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	5563	5957	nCoV-2019_19	6380	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	5867	6272	nCoV-2019_20	3407	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	6167	6550	nCoV-2019_21	11133	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	6466	6873	nCoV-2019_22	4895	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	6718	7117	nCoV-2019_23	2314	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	7035	7415	nCoV-2019_24	5404	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	7305	7694	nCoV-2019_25	7404	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	7626	8019	nCoV-2019_26	5454	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	7943	8341	nCoV-2019_27	6224	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	8249	8661	nCoV-2019_28	4403	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	8595	8983	nCoV-2019_29	5033	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	8888	9271	nCoV-2019_30	5582	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	9204	9585	nCoV-2019_31	10092	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	9477	9858	nCoV-2019_32	7614	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	9784	10171	nCoV-2019_33	4803	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	10076	10459	nCoV-2019_34	5350	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	10362	10763	nCoV-2019_35	5519	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	10666	11074	nCoV-2019_36	7217	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	10999	11394	nCoV-2019_37	8547	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	11306	11693	nCoV-2019_38	10091	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	11555	11949	nCoV-2019_39	5825	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	11863	12256	nCoV-2019_40	5657	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	12110	12490	nCoV-2019_41	7709	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	12417	12802	nCoV-2019_42	7807	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	12710	13096	nCoV-2019_43	5252	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	13005	13400	nCoV-2019_44	18206	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	13307	13699	nCoV-2019_45	7763	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	13599	13984	nCoV-2019_46	4390	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	13918	14299	nCoV-2019_47	4789	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	14207	14601	nCoV-2019_48	3877	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	14545	14926	nCoV-2019_49	5965	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	14865	15246	nCoV-2019_50	2509	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	15171	15560	nCoV-2019_51	5173	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	15481	15886	nCoV-2019_52	4819	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	15827	16209	nCoV-2019_53	7236	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	16118	16510	nCoV-2019_54	5948	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	16416	16833	nCoV-2019_55	4940	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	16748	17152	nCoV-2019_56	7837	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	17065	17452	nCoV-2019_57	9593	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	17381	17761	nCoV-2019_58	4875	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	17674	18062	nCoV-2019_59	4401	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	17966	18348	nCoV-2019_60	5322	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	18253	18672	nCoV-2019_61	5767	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	18596	18979	nCoV-2019_62	7234	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	18896	19297	nCoV-2019_63	4069	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	19204	19616	nCoV-2019_64	88	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	19548	19939	nCoV-2019_65	4071	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	19844	20255	nCoV-2019_66	1591	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	20172	20572	nCoV-2019_67	1366	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	20472	20890	nCoV-2019_68	5376	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	20786	21169	nCoV-2019_69	5097	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	21075	21455	nCoV-2019_70	773	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	21357	21743	nCoV-2019_71	3249	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	21658	22038	nCoV-2019_72	3590	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	21961	22346	nCoV-2019_73	2055	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	22262	22650	nCoV-2019_74	463	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	22516	22903	nCoV-2019_75	2468	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	22797	23214	nCoV-2019_76	2249	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	23122	23522	nCoV-2019_77	5071	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	23443	23847	nCoV-2019_78	3339	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	23789	24169	nCoV-2019_79	2715	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	24078	24467	nCoV-2019_80	3479	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	24391	24789	nCoV-2019_81	2933	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	24696	25076	nCoV-2019_82	5628	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	24978	25369	nCoV-2019_83	6659	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	25279	25673	nCoV-2019_84	3459	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	25601	25994	nCoV-2019_85	7279	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	25902	26315	nCoV-2019_86	4210	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	26197	26590	nCoV-2019_87	4681	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	26520	26913	nCoV-2019_88	3855	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	26835	27227	nCoV-2019_89	5258	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	27141	27533	nCoV-2019_90	3533	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	27446	27854	nCoV-2019_91	1034	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	27784	28172	nCoV-2019_92	3053	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	28081	28464	nCoV-2019_93	4705	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	28394	28779	nCoV-2019_94	4964	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	28677	29063	nCoV-2019_95	2968	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	28985	29378	nCoV-2019_96	3678	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	29288	29693	nCoV-2019_97	4905	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	29486	29866	nCoV-2019_98	3790	SAMPLE_06	2026-05-21 19:31:50
MN908947.3	30	410	nCoV-2019_1	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	320	726	nCoV-2019_2	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	642	1028	nCoV-2019_3	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	943	1337	nCoV-2019_4	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	1242	1651	nCoV-2019_5	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	1573	1964	nCoV-2019_6	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	1868	2269	nCoV-2019_7	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	2181	2592	nCoV-2019_8	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	2504	2904	nCoV-2019_9	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	2826	3210	nCoV-2019_10	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	3144	3531	nCoV-2019_11	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	3460	3853	nCoV-2019_12	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	3771	4164	nCoV-2019_13	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	4044	4450	nCoV-2019_14	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	4294	4696	nCoV-2019_15	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	4636	5017	nCoV-2019_16	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	4939	5321	nCoV-2019_17	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	5230	5644	nCoV-2019_18	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	5563	5957	nCoV-2019_19	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	5867	6272	nCoV-2019_20	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	6167	6550	nCoV-2019_21	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	6466	6873	nCoV-2019_22	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	6718	7117	nCoV-2019_23	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	7035	7415	nCoV-2019_24	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	7305	7694	nCoV-2019_25	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	7626	8019	nCoV-2019_26	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	7943	8341	nCoV-2019_27	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	8249	8661	nCoV-2019_28	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	8595	8983	nCoV-2019_29	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	8888	9271	nCoV-2019_30	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	9204	9585	nCoV-2019_31	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	9477	9858	nCoV-2019_32	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	9784	10171	nCoV-2019_33	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	10076	10459	nCoV-2019_34	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	10362	10763	nCoV-2019_35	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	10666	11074	nCoV-2019_36	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	10999	11394	nCoV-2019_37	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	11306	11693	nCoV-2019_38	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	11555	11949	nCoV-2019_39	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	11863	12256	nCoV-2019_40	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	12110	12490	nCoV-2019_41	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	12417	12802	nCoV-2019_42	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	12710	13096	nCoV-2019_43	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	13005	13400	nCoV-2019_44	5366	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	13307	13699	nCoV-2019_45	0	SAMPLE_01	2026-05-21 19:31:50
MN908947.3	13599	13984	nCoV-2019_46	0	SAMPLE_01	2026-05-21 19:31:50
