chrom	start	end	coverage	sample
MN908947.3	0	200	3949.17	SAMPLE_03
MN908947.3	200	400	7004.65	SAMPLE_03
MN908947.3	400	600	4790.18	SAMPLE_03
MN908947.3	600	800	7059.12	SAMPLE_03
MN908947.3	800	1000	6357.25	SAMPLE_03
MN908947.3	1000	1200	6443	SAMPLE_03
MN908947.3	1200	1400	4292.97	SAMPLE_03
MN908947.3	1400	1600	505.02	SAMPLE_03
MN908947.3	1600	1800	1449.67	SAMPLE_03
MN908947.3	1800	2000	1147.04	SAMPLE_03
MN908947.3	2000	2200	131.83	SAMPLE_03
MN908947.3	2200	2400	1583.73	SAMPLE_03
MN908947.3	2400	2600	1919.54	SAMPLE_03
MN908947.3	2600	2800	31.85	SAMPLE_03
MN908947.3	2800	3000	4482.37	SAMPLE_03
MN908947.3	3000	3200	5438.1	SAMPLE_03
MN908947.3	3200	3400	5720.58	SAMPLE_03
MN908947.3	3400	3600	4042.02	SAMPLE_03
MN908947.3	3600	3800	797.68	SAMPLE_03
MN908947.3	3800	4000	1629.06	SAMPLE_03
MN908947.3	4000	4200	4564.1	SAMPLE_03
MN908947.3	4200	4400	6387.73	SAMPLE_03
MN908947.3	4400	4600	3935.63	SAMPLE_03
MN908947.3	4600	4800	3059.79	SAMPLE_03
MN908947.3	4800	5000	2485.07	SAMPLE_03
MN908947.3	5000	5200	351.16	SAMPLE_03
MN908947.3	5200	5400	3817.66	SAMPLE_03
MN908947.3	5400	5600	6009.99	SAMPLE_03
MN908947.3	5600	5800	12405.55	SAMPLE_03
MN908947.3	5800	6000	7100.33	SAMPLE_03
MN908947.3	6000	6200	2743.97	SAMPLE_03
MN908947.3	6200	6400	10539.9	SAMPLE_03
MN908947.3	6400	6600	8807.06	SAMPLE_03
MN908947.3	6600	6800	7106.72	SAMPLE_03
MN908947.3	6800	7000	1787.97	SAMPLE_03
MN908947.3	7000	7200	628.06	SAMPLE_03
MN908947.3	7200	7400	2735.53	SAMPLE_03
MN908947.3	7400	7600	7509.17	SAMPLE_03
MN908947.3	7600	7800	7198.91	SAMPLE_03
MN908947.3	7800	8000	6679.55	SAMPLE_03
MN908947.3	8000	8200	7807.51	SAMPLE_03
MN908947.3	8200	8400	5495.34	SAMPLE_03
MN908947.3	8400	8600	1494.74	SAMPLE_03
MN908947.3	8600	8800	528.11	SAMPLE_03
MN908947.3	8800	9000	2890.7	SAMPLE_03
MN908947.3	9000	9200	7795.4	SAMPLE_03
MN908947.3	9200	9400	2739.43	SAMPLE_03
MN908947.3	9400	9600	7806.25	SAMPLE_03
MN908947.3	9600	9800	10404	SAMPLE_03
MN908947.3	9800	10000	1839.58	SAMPLE_03
MN908947.3	10000	10200	5433.86	SAMPLE_03
MN908947.3	10200	10400	7805.12	SAMPLE_03
MN908947.3	10400	10600	5425.8	SAMPLE_03
MN908947.3	10600	10800	4258.56	SAMPLE_03
MN908947.3	10800	11000	1662.9	SAMPLE_03
MN908947.3	11000	11200	14473.08	SAMPLE_03
MN908947.3	11200	11400	20486.44	SAMPLE_03
MN908947.3	11400	11600	4061.03	SAMPLE_03
MN908947.3	11600	11800	3872.72	SAMPLE_03
MN908947.3	11800	12000	5846.82	SAMPLE_03
MN908947.3	12000	12200	8362.09	SAMPLE_03
MN908947.3	12200	12400	5930.58	SAMPLE_03
MN908947.3	12400	12600	11634.94	SAMPLE_03
MN908947.3	12600	12800	13721.14	SAMPLE_03
MN908947.3	12800	13000	5561.8	SAMPLE_03
MN908947.3	13000	13200	18655.17	SAMPLE_03
MN908947.3	13200	13400	17264.03	SAMPLE_03
MN908947.3	13400	13600	667.52	SAMPLE_03
MN908947.3	13600	13800	643.58	SAMPLE_03
MN908947.3	13800	14000	1814.45	SAMPLE_03
MN908947.3	14000	14200	4722.82	SAMPLE_03
MN908947.3	14200	14400	5551.45	SAMPLE_03
MN908947.3	14400	14600	5515.42	SAMPLE_03
MN908947.3	14600	14800	7763.59	SAMPLE_03
MN908947.3	14800	15000	5342.25	SAMPLE_03
MN908947.3	15000	15200	1091.61	SAMPLE_03
MN908947.3	15200	15400	1720.65	SAMPLE_03
MN908947.3	15400	15600	5677.76	SAMPLE_03
MN908947.3	15600	15800	7782.14	SAMPLE_03
MN908947.3	15800	16000	11049.45	SAMPLE_03
MN908947.3	16000	16200	10535.04	SAMPLE_03
MN908947.3	16200	16400	1048.85	SAMPLE_03
MN908947.3	16400	16600	1330.99	SAMPLE_03
MN908947.3	16600	16800	2138.03	SAMPLE_03
MN908947.3	16800	17000	6015.74	SAMPLE_03
MN908947.3	17000	17200	16605.5	SAMPLE_03
MN908947.3	17200	17400	17515.31	SAMPLE_03
MN908947.3	17400	17600	8260.87	SAMPLE_03
MN908947.3	17600	17800	7510.95	SAMPLE_03
MN908947.3	17800	18000	5393.73	SAMPLE_03
MN908947.3	18000	18200	5143.68	SAMPLE_03
MN908947.3	18200	18400	6922.74	SAMPLE_03
MN908947.3	18400	18600	10466.07	SAMPLE_03
