chromosome	position	value	end	sample
MN908947.3	0	3949.17	200	SAMPLE_03
MN908947.3	200	7004.65	400	SAMPLE_03
MN908947.3	400	4790.18	600	SAMPLE_03
MN908947.3	600	7059.12	800	SAMPLE_03
MN908947.3	800	6357.25	1000	SAMPLE_03
MN908947.3	1000	6443.0	1200	SAMPLE_03
MN908947.3	1200	4292.97	1400	SAMPLE_03
MN908947.3	1400	505.02	1600	SAMPLE_03
MN908947.3	1600	1449.67	1800	SAMPLE_03
MN908947.3	1800	1147.04	2000	SAMPLE_03
MN908947.3	2000	131.83	2200	SAMPLE_03
MN908947.3	2200	1583.73	2400	SAMPLE_03
MN908947.3	2400	1919.54	2600	SAMPLE_03
MN908947.3	2600	31.85	2800	SAMPLE_03
MN908947.3	2800	4482.37	3000	SAMPLE_03
MN908947.3	3000	5438.1	3200	SAMPLE_03
MN908947.3	3200	5720.58	3400	SAMPLE_03
MN908947.3	3400	4042.02	3600	SAMPLE_03
MN908947.3	3600	797.68	3800	SAMPLE_03
MN908947.3	3800	1629.06	4000	SAMPLE_03
MN908947.3	4000	4564.1	4200	SAMPLE_03
MN908947.3	4200	6387.73	4400	SAMPLE_03
MN908947.3	4400	3935.63	4600	SAMPLE_03
MN908947.3	4600	3059.79	4800	SAMPLE_03
MN908947.3	4800	2485.07	5000	SAMPLE_03
MN908947.3	5000	351.16	5200	SAMPLE_03
MN908947.3	5200	3817.66	5400	SAMPLE_03
MN908947.3	5400	6009.99	5600	SAMPLE_03
MN908947.3	5600	12405.55	5800	SAMPLE_03
MN908947.3	5800	7100.33	6000	SAMPLE_03
